Measurement time:; 07/09/2022 19:11:32;;;;
Radiation device:; Clinac3 Accelerator;;;;
Energy:; 12 MeV ;;;;
Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; ROOS;;;;
Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;
Field size:; 60 x 60 mm;;;;
Gantry angle:;0;;;;
Measurement medium:; Water;;;;
Scan type:; Beam;;;;
Scan mode:; Continuous;;;;
Wedge:; none;;;;
;;;;;
Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;0;117,9;1,48;8187;1,38
0;0;116,7;1,48;8228,3;1,39
0;0;115,5;1,5;8319,3;1,41
0;0;114,3;1,54;8513,1;1,42
0;0;113,1;1,53;8472,8;1,42
0;0;111,9;1,53;8496,2;1,45
0;0;110,7;1,57;8701,1;1,45
0;0;109,5;1,55;8621,3;1,46
0;0;108,3;1,62;8970,8;1,49
0;0;107,1;1,59;8793,5;1,48
0;0;105,9;1,65;9138;1,51
0;0;104,7;1,63;9031,5;1,51
0;0;103,5;1,65;9138;1,54
0;0;102,3;1,66;9197,6;1,54
0;0;101,1;1,7;9411,5;1,57
0;0;99,9;1,71;9510,9;1,58
0;0;98,7;1,72;9548,5;1,59
0;0;97,5;1,73;9586,8;1,59
0;0;96,3;1,71;9479;1,57
0;0;95,1;1,75;9694,8;1,62
0;0;93,9;1,67;9282,5;1,63
0;0;92,6;1,76;9757,7;1,62
0;0;91,4;1,74;9644,3;1,63
0;0;90,2;1,8;9966,2;1,67
0;0;89;1,8;9972,6;1,66
0;0;87,8;1,77;9800,1;1,69
0;0;86,6;1,78;9895,7;1,7
0;0;85,4;1,85;10251,4;1,7
0;0;84,2;1,82;10106;1,72
0;0;83;1,79;9921,8;1,74
0;0;81,8;1,9;10537,4;1,74
0;0;80,6;1,88;10433,6;1,76
0;0;79,4;1,83;10175,2;1,77
0;0;78,2;1,96;10858;1,78
0;0;77;1,89;10475,4;1,81
0;0;75,7;1,95;10799,8;1,82
0;0;74,6;2,01;11168,8;1,82
0;0;73,3;1,93;10682,6;1,86
0;0;72,1;1,99;11031,9;1,87
0;0;70,9;2,11;11705,6;1,9
0;0;69,7;2,03;11243,7;1,96
0;0;68,5;2,22;12303,3;2,07
0;0;67,3;2,51;13941,2;2,26
0;0;66,1;2,69;14906,1;2,61
0;0;64,9;3,47;19266,1;3,23
0;0;63,7;4,67;25905,9;4,19
0;0;62,5;5,83;32324,7;5,63
0;0;61,3;8,17;45319,4;7,53
0;0;60,1;11,38;63096,4;10,18
0;0;58,9;13,75;76270,4;13,25
0;0;57,7;18,39;101993,9;16,96
0;0;56,5;22,75;126169,5;21,31
0;0;55,3;27,33;151556,8;26,09
0;0;54,1;33,91;188045,5;31,31
0;0;52,9;40,97;227227,4;36,45
0;0;51,7;44,37;246078,8;42,39
0;0;50,5;51,54;285808,8;47,93
0;0;49,2;59,49;329917,3;53,28
0;0;48;61,39;340476,5;59,01
