0,0; -4,5; 100,0; 13,63; 10229,5; 13,60
0,0; -4,3; 100,0; 15,35; 11525,8; 15,30
0,0; -4,2; 100,0; 17,07; 12812,2; 17,05
0,0; -4,2; 100,0; 17,45; 13098,5; 17,41
0,0; -4,0; 100,0; 19,76; 14835,4; 19,73
0,0; -4,0; 100,0; 20,29; 15229,7; 20,27
0,0; -3,8; 100,0; 23,25; 17450,5; 23,22
0,0; -3,7; 100,0; 25,90; 19438,9; 25,87
0,0; -3,7; 100,0; 26,19; 19657,3; 26,16
0,0; -3,5; 100,0; 28,66; 21513,4; 28,60
0,0; -3,5; 100,0; 30,62; 22981,4; 30,56
0,0; -3,3; 100,0; 36,63; 27499,6; 36,61
0,0; -3,3; 100,0; 36,51; 27402,9; 36,43
0,0; -3,0; 100,0; 42,75; 32090,9; 42,64
0,0; -3,0; 100,0; 42,73; 32073,5; 42,60
0,0; -2,8; 100,0; 49,70; 37307,7; 49,57
0,0; -2,8; 100,0; 49,35; 37043,7; 49,24
0,0; -2,7; 100,0; 56,06; 42078,3; 55,98
0,0; -2,6; 100,0; 56,25; 42220,0; 56,15
0,0; -2,5; 100,0; 61,17; 45915,1; 61,00
0,0; -2,5; 100,0; 61,07; 45844,6; 60,99
0,0; -2,3; 100,0; 68,08; 51104,7; 67,91
0,0; -2,3; 100,0; 67,77; 50870,7; 67,54
0,0; -2,1; 100,0; 73,71; 55329,8; 73,53
0,0; -2,1; 100,0; 74,25; 55736,9; 74,06
0,0; -1,9; 100,0; 79,35; 59560,3; 79,26
0,0; -1,9; 100,0; 80,21; 60205,6; 80,05
0,0; -1,8; 100,0; 82,61; 62008,8; 82,38
0,0; -1,6; 100,0; 87,41; 65610,3; 87,24
0,0; -1,5; 100,0; 87,72; 65848,6; 87,42
0,0; -1,4; 100,0; 91,08; 68366,1; 90,87
0,0; -1,3; 100,0; 93,04; 69839,6; 92,82
0,0; -1,2; 100,0; 92,79; 69653,2; 92,69
0,0; -1,1; 100,0; 94,93; 71254,4; 94,76
0,0; -1,1; 100,0; 95,25; 71494,7; 95,07
0,0; -0,9; 100,0; 96,93; 72759,4; 96,71
0,0; -0,8; 100,0; 98,33; 73811,5; 98,14
0,0; -0,8; 100,0; 98,34; 73820,6; 98,33
0,0; -0,6; 100,0; 98,53; 73956,9; 98,39
0,0; -0,4; 100,0; 99,52; 74703,6; 99,44
0,0; -0,4; 100,0; 99,62; 74779,4; 99,45
0,0; -0,3; 100,0; 99,91; 74996,9; 99,78
0,0; -0,3; 100,0; 99,91; 74993,5; 99,78
0,0; 0,0; 100,0; 100,17; 75192,3; 99,98
0,0; 0,0; 100,0; 99,93; 75008,3; 99,81
0,0; 0,1; 100,0; 99,94; 75016,8; 99,70
0,0; 0,1; 100,0; 100,06; 75105,8; 99,79
0,0; 0,3; 100,0; 99,46; 74660,8; 99,14
0,0; 0,3; 100,0; 99,47; 74663,0; 99,20
0,0; 0,5; 100,0; 98,84; 74192,3; 98,70
0,0; 0,5; 100,0; 98,81; 74170,2; 98,77
0,0; 0,7; 100,0; 98,18; 73697,3; 97,88
0,0; 0,7; 100,0; 97,62; 73275,0; 97,55
0,0; 0,9; 100,0; 96,67; 72562,5; 96,46
0,0; 1,0; 100,0; 95,97; 72040,6; 95,79
0,0; 1,2; 100,0; 93,71; 70338,9; 93,57
0,0; 1,2; 100,0; 94,11; 70642,4; 93,84
0,0; 1,2; 100,0; 93,08; 69872,7; 92,81
0,0; 1,5; 100,0; 90,49; 67926,4; 90,26
0,0; 1,5; 100,0; 90,49; 67925,4; 90,31
0,0; 1,5; 100,0; 89,03; 66828,2; 88,80
0,0; 1,7; 100,0; 86,10; 64626,3; 85,86
0,0; 1,8; 100,0; 85,60; 64254,1; 85,53
0,0; 1,8; 100,0; 83,45; 62641,7; 83,29
