Measurement time:; 02/08/2022 19:51:44;;;;;
Radiation device:; Novalis TB Accelerator;;;;;
Energy:; 6 MV ;;;;;
Controller:; CCU;;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;;
Field detector:; CC 13 -  F;;;;;
Reference detector:; CC 13 - R pas offset energie;;;;;
SAD:; 1000 mm;;;;;
SSD:; 900 mm;;;;;
Field size:; 100 x 100 mm;;;;;
Gantry angle:;0;;;;;
Measurement medium:; Water;;;;;
Scan type:; Beam;;;;;
Scan mode:; Continuous;;;;;
Wedge:; none;;;;;
;;;;;;
Points [mm]:;;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio;Dose relative (%)
0;0;181,3;85,21;123700,2;40,31;40,38197242
0;0;180,1;85,61;124289,8;40,55;40,57153689
0;0;178,9;86,41;125442,4;40,87;40,95066585
0;0;177,7;86,87;126115;41,12;41,16866499
0;0;176,5;87,5;127037;41,44;41,46722904
0;0;175,3;88,04;127817,8;41,69;41,72314108
0;0;174,1;88,73;128810;41,97;42,0501398
0;0;172,9;89,35;129717,3;42,26;42,34396474
0;0;171,7;89,99;130641,5;42,6;42,6472679
0;0;170,5;90,63;131577,5;42,89;42,95057106
0;0;169,3;91,19;132389,4;43,16;43,21596133
0;0;168,1;92,2;133855,7;43,57;43,69461163
0;0;166,9;92,6;134437,3;43,73;43,88417611
0;0;165,7;93,42;135625,2;44,24;44,27278328
0;0;164,5;93,95;136388,9;44,43;44,52395621
0;0;163,3;94,77;137581,2;44,88;44,91256339
0;0;162,1;95,21;138223,7;45,05;45,12108431
0;0;160,9;95,85;139159,6;45,39;45,42438747
0;0;159,6;96,73;140425,7;45,78;45,84142932
0;0;158,5;97,38;141371,8;46,08;46,14947159
0;0;157,2;98;142276,3;46,36;46,44329653
0;0;156,1;98,78;143410,4;46,7;46,81294725
0;0;154,9;99,37;144262,8;47,02;47,09255486
0;0;153,6;99,96;145122,4;47,27;47,37216246
0;0;152,4;100,87;146434,9;47,66;47,80342164
0;0;151,2;101,37;147170,3;48,03;48,04037723
0;0;150;102,22;148407,1;48,37;48,44320174
0;0;148,8;103,03;149578,5;48,78;48,82706981
0;0;147,6;103,64;150456,1;49,11;49,11615563
0;0;146,4;104,43;151605,4;49,39;49,49054547
0;0;145,2;104,9;152296,6;49,66;49,71328373
0;0;144;105,89;153736,7;50,08;50,18245581
0;0;142,8;106,73;154952,4;50,52;50,58054121
0;0;141,6;107,3;155774,4;50,86;50,85067058
0;0;140,4;108;156788,6;51,07;51,18240842
0;0;139,2;108,96;158189,7;51,52;51,63736316
0;0;138;109,71;159277,8;51,92;51,99279655
0;0;136,8;110,21;160006,3;52,18;52,22975214
0;0;135,6;111,1;161298,8;52,61;52,6515331
0;0;134,4;112;162592,8;53;53,07805317
0;0;133,2;112,76;163702,6;53,4;53,43822568
0;0;131,9;113,45;164704,9;53,64;53,7652244
0;0;130,8;114,19;165784,7;54,1;54,11591868
0;0;129,6;114,97;166912,9;54,39;54,4855694
0;0;128,4;116,13;168596,7;54,93;55,03530638
0;0;127,1;116,63;169317,3;55,21;55,27226198
0;0;125,9;117,56;170670,3;55,64;55,71299938
0;0;124,7;118,39;171874,6;56,07;56,10634567
0;0;123,5;119,19;173037;56,42;56,48547462
0;0;122,4;120,05;174291,1;56,78;56,89303824
0;0;121,1;120,69;175212,6;57,15;57,19634141
0;0;119,9;121,69;176662,6;57,61;57,67025259
0;0;118,7;122,55;177919,5;58,02;58,07781622
0;0;117,5;123,45;179221,3;58,43;58,50433629
0;0;116,3;124,19;180302,6;58,73;58,85503057
0;0;115,1;125,06;181561,8;59,12;59,2673333
0;0;113,9;126,04;182977,2;59,6;59,73176627
0;0;112,7;126,83;184134,5;60,01;60,10615611
0;0;111,5;127,63;185297,5;60,39;60,48528506
0;0;110,3;128,57;186649,5;60,84;60,93076158
0;0;109,1;129,4;187862,6;61,2;61,32410786
0;0;107,9;130,6;189600;61,72;61,89280129
0;0;106,7;131,27;190574,2;62,14;62,21032179
0;0;105,5;132,19;191910,1;62,59;62,64632008
0;0;104,3;133,44;193728,2;63,13;63,23870907
0;0;103,1;133,98;194517;63,45;63,49462111
0;0;101,9;135,14;196198,8;63,94;64,04435809
0;0;100,7;135,78;197127,1;64,26;64,34766125
0;0;99,5;136,9;198750,5;64,77;64,87844178
0;0;98,3;137,76;199994,9;65,16;65,2860054
0;0;97,1;138,48;201046,4;65,61;65,62722146
0;0;95,9;139,87;203059,4;66,19;66,28595801
0;0;94,7;140,69;204247,7;66,6;66,67456519
0;0;93,5;141,54;205488,1;66,96;67,0773897
0;0;92,3;142,54;206939,6;67,5;67,55130089
0;0;91,1;143,48;208300,9;67,93;67,9967774
0;0;89,9;144,3;209495,2;68,28;68,38538458
0;0;88,6;145,4;211096;68,79;68,90668689
0;0;87,4;146,51;212696,4;69,41;69,43272831
0;0;86,3;147,71;214436,6;69,86;70,00142173
0;0;85;148,46;215534,5;70,32;70,35685513
0;0;83,8;149,56;217121,9;70,85;70,87815743
0;0;82,6;150,52;218519,1;71,24;71,33311217
0;0;81,4;151,42;219823,4;71,69;71,75963224
0;0;80,2;152,63;221585,6;72,21;72,33306478
0;0;79;153,67;223092,7;72,71;72,82593242
0;0;77,8;154,55;224378,8;73,17;73,24297427
0;0;76,6;155,71;226062,6;73,67;73,79271125
0;0;75,3;156,64;227413,5;74,17;74,23344865
0;0;74,2;157,7;228940,5;74,55;74,73579451
0;0;72,9;158,65;230321,4;75,09;75,18601014
0;0;71,7;160;232281,4;75,64;75,82579025
0;0;70,5;160,96;233682,5;76,12;76,28074499
0;0;69,3;161,96;235138,2;76,7;76,75465618
0;0;68,1;163,17;236881,3;77,22;77,32808872
0;0;66,9;164,03;238136,4;77,67;77,73565234
0;0;65,7;165,11;239708,1;78,13;78,24747642
0;0;64,5;166,33;241470,9;78,73;78,82564807
0;0;63,3;167,25;242814,6;79,13;79,26164637
0;0;62,1;168,4;244486,1;79,68;79,80664423
0;0;60,9;169,44;245987,7;80,24;80,29951187
0;0;59,7;170,46;247470,6;80,65;80,78290128
0;0;58,5;171,63;249173,1;81,23;81,33737738
0;0;57,3;172,44;250351;81,52;81,72124544
0;0;56,1;174,18;252874,2;82,43;82,54585091
0;0;54,9;174,94;253973,2;82,76;82,90602341
0;0;53,6;175,94;255420;83,25;83,3799346
0;0;52,4;177,13;257148,5;83,8;83,94388892
0;0;51,2;178,72;259464,8;84,56;84,69740771
0;0;50;179,63;260778,7;85,05;85,12866689
0;0;48,8;180,58;262169,2;85,49;85,57888252
0;0;47,6;181,75;263856,9;86,08;86,13335861
0;0;46,4;182,97;265633,1;86,67;86,71153026
0;0;45,2;184,2;267422,8;87,16;87,29444102
0;0;44;185,22;268899,1;87,65;87,77783043
0;0;42,8;186,31;270483,9;88,15;88,29439363
0;0;41,6;187,34;271983,5;88,65;88,78252216
0;0;40,3;188,54;273723,3;89,2;89,35121558
0;0;39,2;189,56;275203,6;89,67;89,834605
0;0;37,9;190,69;276833,9;90,28;90,37012464
0;0;36,7;192,02;278771,3;90,82;91,00042652
0;0;35,5;193,21;280501,2;91,48;91,56438084
0;0;34,3;194,22;281964,1;91,99;92,04303114
0;0;33,1;195,52;283853,9;92,4;92,65911568
0;0;31,9;196,68;285535,1;93;93,20885266
0;0;30,7;197,81;287179,5;93,69;93,7443723
0;0;29,5;198,9;288756;94,15;94,2609355
0;0;28,3;199,64;289841,2;94,55;94,61162978
0;0;27,1;201,44;292445;95,41;95,46466992
0;0;25,9;202,17;293514,1;95,75;95,81062509
0;0;24,7;203,41;295313,4;96,29;96,39827496
0;0;23,5;204,45;296823,8;96,85;96,8911426
0;0;22,3;205,74;298691,9;97,31;97,50248803
0;0;21;206,79;300215,6;97,85;98,00009478
0;0;19,9;207,79;301664,2;98,26;98,47400597
0;0;18,6;208,8;303133,4;98,88;98,95265627
0;0;17,4;209,89;304709,3;99,34;99,46921947
0;0;16,2;210,51;305608,9;99,58;99,76304441
0;0;15;210,9;306187,9;99,85;99,94786977
0;0;13,8;211,01;306344,7;100;100
0;0;12,6;210,92;306206,4;99,81;99,95734799
0;0;11,4;210,2;305171,9;99,46;99,61613194
0;0;10,2;208,41;302561,8;98,69;98,76783091
0;0;9;205,74;298686,1;97,41;97,50248803
0;0;7,8;201,86;293052,4;95,55;95,66371262
0;0;6,6;195,38;283645,2;92,43;92,59276812
0;0;5,4;186,4;270615,9;88,22;88,33704564
0;0;4,2;173,39;251721,8;82,05;82,17146107
0;0;3;155,3;225461,4;73,43;73,59840766
0;0;1,8;131,87;191442,4;62,41;62,4946685
0;0;0,5;116,79;169559,7;55,23;55,34808777
0;0;-0,5;109,05;158318,2;51,63;51,68001517
;;;;;;
;;;;;;
Measurement time:; 02/08/2022 19:55:15;;;;;
Radiation device:; Novalis TB Accelerator;;;;;
Energy:; 6 MV ;;;;;
Controller:; CCU;;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;;
Field detector:; CC 13 -  F;;;;;
Reference detector:; CC 13 - R pas offset energie;;;;;
SAD:; 1000 mm;;;;;
SSD:; 1100 mm;;;;;
Field size:; 100 x 100 mm;;;;;
Gantry angle:;0;;;;;
Measurement medium:; Water;;;;;
Scan type:; Beam;;;;;
Scan mode:; Continuous;;;;;
Wedge:; none;;;;;
;;;;;;
Points [mm]:;;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio;
0;0;310;30,94;44917,4;21,89;21,67121944
0;0;309,1;31,25;45361,8;21,85;21,88835189
0;0;307,6;31,67;45978,5;22,12;22,18253134
0;0;306,6;31,73;46068,9;22,19;22,22455698
0;0;305,3;31,79;46151,5;22,23;22,26658262
0;0;304,1;32,17;46706,6;22,5;22,53274497
0;0;302,9;32,41;47054,8;22,67;22,70084752
0;0;301,7;32,61;47344,9;22,82;22,84093297
0;0;300,5;32,79;47601,7;22,9;22,96700988
0;0;299,3;33,03;47954,8;23,12;23,13511242
0;0;298,1;33,21;48212;23,23;23,26118933
0;0;296,9;33,41;48509,7;23,35;23,40127478
0;0;295,7;33,57;48732,5;23,45;23,51334314
0;0;294,5;33,85;49145;23,64;23,70946277
0;0;293,3;34,03;49397,4;23,84;23,83553968
0;0;292,1;34,23;49695,7;23,89;23,97562513
0;0;290,9;34,49;50067;24,09;24,15773622
0;0;289,7;34,71;50391,7;24,27;24,31183022
0;0;288,5;34,95;50736,5;24,41;24,47993276
0;0;287,3;35,15;51032,5;24,54;24,62001821
0;0;286,1;35,33;51295,8;24,71;24,74609512
0;0;284,9;35,57;51646,8;24,9;24,91419766
0;0;283,7;35,9;52125,1;25,06;25,14533866
0;0;282,5;36,08;52375,2;25,25;25,27141556
0;0;281,3;36,33;52749,2;25,38;25,44652238
0;0;280,1;36,5;52988;25,53;25,56559501
0;0;278,9;36,79;53412;25,71;25,76871892
0;0;277,7;36,97;53678;25,88;25,89479583
0;0;276,4;37,34;54206,7;26,12;26,15395391
0;0;275,3;37,52;54469,6;26,26;26,28003082
0;0;274;37,82;54903,1;26,43;26,490159
0;0;272,9;38;55162,4;26,54;26,6162359
0;0;271,7;38,25;55523,8;26,77;26,79134272
0;0;270,4;38,53;55937,8;26,88;26,98746235
0;0;269,3;38,62;56061,1;27;27,05050081
0;0;268;39,11;56786;27,36;27,39371016
0;0;266,8;39,29;57037;27,45;27,51978707
0;0;265,6;39,45;57275,2;27,56;27,63185543
0;0;264,4;39,82;57810,3;27,83;27,89101352
0;0;263,2;40,2;58367,2;28,12;28,15717588
0;0;262;40,3;58504,9;28,13;28,2272186
0;0;260,8;40,49;58784,9;28,35;28,36029978
0;0;259,6;40,82;59260,2;28,52;28,59144078
0;0;258,4;41,1;59667,3;28,77;28,78756041
0;0;257,2;41,39;60085,3;28,93;28,99068432
0;0;256;41,61;60415;29,12;29,14477831
0;0;254,8;41,94;60883;29,31;29,37591931
0;0;253,6;42,11;61139,7;29,48;29,49499195
0;0;252,3;42,51;61711,9;29,7;29,77516285
0;0;251,2;42,84;62201,3;29,97;30,00630385
0;0;249,9;43,13;62621,9;30,11;30,20942775
0;0;248,7;43,47;63115,6;30,44;30,44757302
0;0;247,5;43,69;63432,1;30,53;30,60166702
0;0;246,3;43,9;63729,5;30,72;30,74875674
