Measurement time:; 04/09/2023 15:55:31;;;;;;Measurement time:; 04/09/2023 15:59:24;;;;
Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;
Energy:; 6 MV ;;;;;;Energy:; 6 MV ;;;;
Controller:; CCU;;;;;;Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;
Field size:; 100 x 100 mm;;;;;;Field size:; 100 x 100 mm;;;;
Gantry angle:;0;;;;;;Gantry angle:;0;;;;
Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;
Scan type:; Beam;;;;;;Scan type:; Beam;;;;
Scan mode:; Continuous;;RP avec chambre de ref;;;;Scan mode:; Continuous;;RP sans chambre de ref;;
Wedge:; none;;;;;;Wedge:; none;;;;
;;;;;;;;;;;;
Points [mm]:;;;;;;;Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;0;237,3;682,76;76562,4;30,69;;0;0;237,2;149,76;77106,8;29,78
0;0;236;687,28;77069,8;30,88;;0;0;236;150,43;77452;26,24
0;0;234,8;692,28;77630,3;31,16;;0;0;234,8;151,69;78097,6;28,5
0;0;233,6;698,08;78280,2;31,39;;0;0;233,5;152,54;78536,6;24,61
0;0;232,4;702,35;78759,3;31,59;;0;0;232,3;153,37;78963;23,9
0;0;231,2;708,89;79492,8;31,91;;0;0;231,1;155,05;79825,8;30,2
0;0;230;713,15;79970,6;32,08;;0;0;229,9;155,26;79934,2;26,95
0;0;228,8;716,74;80373,3;32,3;;0;0;228,7;156,63;80641;30
0;0;227,6;723,46;81126,2;32,56;;0;0;227,5;157,07;80867,8;25,7
0;0;226,4;725,8;81388,5;32,73;;0;0;226,3;159,11;81916,3;28,81
0;0;225,2;731,09;81982;32,93;;0;0;225,1;159,88;82315,7;25,83
0;0;223,9;734,21;82331,8;33,1;;0;0;223,9;161,13;82957,4;28,45
0;0;222,8;741,64;83164,9;33,36;;0;0;222,7;161,83;83318;29,19
0;0;221,5;746,49;83708,9;33,65;;0;0;221,5;162,91;83875,1;26,77
0;0;220,3;751,62;84283,9;33,87;;0;0;220,3;163,49;84173,3;27,98
0;0;219,1;757,9;84989;34,08;;0;0;219,1;165,45;85182,2;31,31
0;0;217,9;761,98;85445,7;34,35;;0;0;217,8;165,89;85411,6;30,62
0;0;216,7;768,78;86208;34,56;;0;0;216,7;167,8;86393,4;30,91
0;0;215,5;771,45;86508,5;34,72;;0;0;215,5;168,35;86677;29,54
0;0;214,3;777,63;87201,5;35;;0;0;214,2;169,23;87129,4;28,73
0;0;213,1;784,04;87919,2;35,29;;0;0;213,1;171,02;88048,2;27,51
0;0;211,9;787,94;88357,3;35,49;;0;0;211,8;172,24;88676,6;30,56
0;0;210,7;793,21;88948;35,71;;0;0;210,6;172,73;88929,9;25,54
0;0;209,5;798,96;89592,3;35,95;;0;0;209,4;174,08;89624,1;26,56
0;0;208,2;803,52;90103,8;36,19;;0;0;208,2;175,63;90421,6;28,84
0;0;207;809,49;90774;36,44;;0;0;207;176,01;90621,2;28,43
0;0;205,8;812,85;91150,7;36,67;;0;0;205,8;177,11;91186,7;27,46
0;0;204,6;820,07;91960;36,95;;0;0;204,6;179,12;92220,1;26,98
0;0;203,4;824,64;92472,1;37,16;;0;0;203,4;179,9;92622,4;31,42
0;0;202,2;834,35;93561,2;37,47;;0;0;202,2;181,68;93540,8;29,59
0;0;201;837,13;93873;37,7;;0;0;201;182,68;94055,2;30,73
0;0;199,8;844,87;94740,5;37,96;;0;0;199,7;183,66;94556,3;31,79
0;0;198,6;846,01;94868,7;38,1;;0;0;198,6;184,92;95205,1;27,86
0;0;197,3;855,3;95911,1;38,47;;0;0;197,4;186,05;95788,6;35,04
0;0;196,1;862,49;96716,7;38,78;;0;0;196,1;187,16;96358,9;29,58
0;0;194,9;869,21;97471;39,06;;0;0;194,9;189;97307,2;35,75
0;0;193,7;874,12;98020,9;39,33;;0;0;193,7;190,54;98097,8;36,07
0;0;192,5;878,64;98528,2;39,48;;0;0;192,5;191,87;98782,9;37,05
0;0;191,3;883,34;99054,5;39,77;;0;0;191,3;192,83;99278,9;36,2
0;0;190,1;891,16;99932,4;40,06;;0;0;190,1;194,64;100211,2;31,52
0;0;188,9;894,19;100272,2;40,33;;0;0;188,8;195,54;100672,2;31,64
0;0;187,7;906,52;101654,4;40,76;;0;0;187,7;197,13;101495,4;34,75
0;0;186,5;910,3;102078,6;41,01;;0;0;186,5;198,29;102091;30,58
0;0;185,3;914,84;102587,3;41,16;;0;0;185,3;199,67;102802,7;32,63
0;0;184,1;921,05;103283,7;41,42;;0;0;184,1;201,12;103547,7;32,34
0;0;182,9;926,41;103884,7;41,72;;0;0;182,8;202,1;104054;35,05
0;0;181,7;932,64;104583,7;41,99;;0;0;181,6;203,41;104727;34,4
0;0;180,5;938,17;105202,8;42,22;;0;0;180,4;205,11;105600,1;33,39
0;0;179,2;945,97;106078,5;42,57;;0;0;179,2;205,77;105943,9;34,8
0;0;178;953,02;106868,2;42,91;;0;0;178;207,91;107041,6;36,25
0;0;176,8;960,96;107758,9;43,19;;0;0;176,8;209,02;107614,8;32,64
0;0;175,6;962,64;107947,5;43,4;;0;0;175,6;210,9;108583,5;34,29
0;0;174,4;972,55;109058,5;43,69;;0;0;174,4;211,75;109018,9;37,51
0;0;173,2;980,16;109911,6;44,01;;0;0;173,1;214,13;110244;34,68
0;0;172;984,59;110408,9;44,31;;0;0;172;214,55;110460,9;35,73
0;0;170,8;991,42;111174,5;44,6;;0;0;170,8;216,14;111278,9;37,19
0;0;169,6;1000,8;112226,8;44,97;;0;0;169,6;217,56;112013,7;39,93
0;0;168,4;1005,15;112714,1;45,28;;0;0;168,3;219,15;112832;36,41
0;0;167,2;1012,74;113564,9;45,61;;0;0;167,1;220,72;113639,2;37,67
0;0;166;1017,02;114045,6;45,8;;0;0;165,9;222,23;114415,5;34,22
0;0;164,8;1024,95;114934,1;46,17;;0;0;164,7;223,9;115274;37,34
0;0;163,6;1032,72;115805,4;46,43;;0;0;163,5;225,32;116007,8;34,43
0;0;162,3;1039,04;116514,9;46,68;;0;0;162,3;226,81;116771,8;37,97
0;0;161,1;1045,99;117294;47,06;;0;0;161,1;228,61;117700,3;41,35
0;0;159,9;1054,8;118281,9;47,46;;0;0;159,9;229,71;118267,3;37,85
