;;;Rendement 10;;;;;;;Inline 10;;;;;;;Crossline 10;;;;;;;Rendement 3;;;;;;;Inline 3;;;;;;;Crossline 3;;
Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;0;299,5;44,28;51288,7;21,92;;69,4;0;100;13,95;16161,5;10,54;;0;69,5;100;12,88;14916,4;9,67;;0;0;299,5;32,77;37962,1;18,12;;19,5;0;100;23,83;27601,4;22,04;;0;-19,5;100;25,78;29861,8;23,88
0;0;298,3;44,69;51768,9;22,1;;68,2;0;100;14,75;17091,4;11,1;;0;68,2;100;13,39;15507,1;10,04;;0;0;298,3;33,11;38349,9;18,26;;18,3;0;100;35,14;40708,7;32,54;;0;-18,3;100;39,21;45413,7;35,8
0;0;297,1;44,57;51632,6;22,14;;67;0;100;15,23;17640,6;11,46;;0;67;100;14,05;16273,3;10,56;;0;0;297,1;33,13;38379,1;18,32;;17,1;0;100;49,18;56964,3;45,35;;0;-17,1;100;55,28;64039;50,56
0;0;295,9;45,18;52339,8;22,41;;65,8;0;100;15,87;18383,7;11,95;;0;65,8;100;14,82;17171,3;11,16;;0;0;295,9;33,65;38983,6;18,53;;15,9;0;100;64,81;75069,9;59,2;;0;-15,9;100;71,6;82941,5;64,88
0;0;294,7;45,23;52396,6;22,46;;64,6;0;100;16,55;19166,8;12,54;;0;64,6;100;15,48;17930,9;11,67;;0;0;294,7;33,65;38984;18,57;;14,7;0;100;78,4;90814,4;71,62;;0;-14,7;100;86,26;99921,3;78,27
0;0;293,4;45,66;52894,1;22,64;;63,4;0;100;18,05;20909,6;13,61;;0;63,3;100;16,69;19334,8;12,53;;0;0;293,5;34,09;39486,5;18,71;;13,4;0;100;89,78;103994,8;82,26;;0;-13,4;100;96,88;112222,5;88,25
0;0;292,2;46,06;53354,6;22,75;;62,1;0;100;19,61;22711,4;14,83;;0;62,2;100;17,94;20780,5;13,55;;0;0;292,2;34,19;39603;18,83;;12,2;0;100;98,01;113526,1;89,49;;0;-12,3;100;102,99;119303,3;93,84
0;0;291;46,23;53547;22,95;;60,9;0;100;22,16;25671,5;16,77;;0;61;100;19,75;22875,4;14,89;;0;0;291;34,46;39921,6;18,94;;11;0;100;103,02;119337,1;94,33;;0;-11,1;100;105,35;122029,8;96,37
0;0;289,8;46,4;53752,4;23,04;;59,7;0;100;26,5;30700,8;20,19;;0;59,7;100;22,59;26162,5;17,21;;0;0;289,8;34,68;40176,2;19,18;;9,8;0;100;105,75;122499,2;97,44;;0;-9,8;100;106,83;123749,8;97,6
0;0;288,6;46,83;54241;23,25;;58,6;0;100;34,32;39749,6;26;;0;58,5;100;27,68;32065,9;21,19;;0;0;288,6;34,92;40452,6;19,32;;8,6;0;100;107,75;124813,7;98,61;;0;-8,6;100;108,04;125151,9;98,43
0;0;287,4;47,06;54515;23,38;;57,3;0;100;46,19;53507,5;34,95;;0;57,4;100;37,58;43535,5;28,53;;0;0;287,4;35,2;40778,6;19,47;;7,4;0;100;107,97;125071,2;98,73;;0;-7,4;100;108,28;125425,4;98,95
0;0;286,1;47,23;54711;23,43;;56,1;0;100;60,52;70097,7;45,56;;0;56,1;100;52,62;60946,8;39,83;;0;0;286,2;35,33;40919,6;19,57;;6,2;0;100;108,44;125611,7;99,27;;0;-6,2;100;109,33;126643;99,2
0;0;284,9;47,92;55508,2;23,74;;54,9;0;100;76,54;88663,3;57,35;;0;54,9;100;70,18;81288,5;52,72;;0;0;285;35,78;41440,2;19,69;;4,9;0;100;109,28;126580;99,9;;0;-5;100;108,86;126100,2;99,35
0;0;283,7;48,11;55731,2;23,87;;53,6;0;100;91,58;106084,2;68,66;;0;53,7;100;87,61;101485,4;65,91;;0;0;283,8;35,96;41655,9;19,74;;3,7;0;100;108,84;126079,6;99,78;;0;-3,8;100;109,22;126520,4;99,46
0;0;282,5;48,44;56108,7;23,98;;52,5;0;100;103,46;119845,8;77,61;;0;52,5;100;102,66;118918,3;77,25;;0;0;282,6;36,37;42127,2;19,98;;2,5;0;100;109,29;126591,3;99,98;;0;-2,5;100;109,09;126360,2;99,76
0;0;281,3;48,54;56229,5;24,06;;51,2;0;100;112,74;130589,4;84,67;;0;51,3;100;113,66;131652,7;85,32;;0;0;281,4;36,46;42234,1;20,11;;1,3;0;100;109,35;126668,8;100,24;;0;-1,4;100;109,36;126673,9;100,07
0;0;280,1;48,8;56533;24,11;;50,1;0;100;118,61;137395,1;89,3;;0;50,1;100;120,25;139296,9;90,03;;0;0;280,2;36,63;42430,7;20,2;;0,1;0;100;108,86;126097,1;100,03;;0;-0,2;100;109,59;126939,8;100,02
0;0;278,9;49,11;56888,1;24,39;;48,9;0;100;121,83;141126,8;91,95;;0;48,8;100;122,82;142264,8;92,37;;0;0;279;36,98;42834,3;20,24;;-1,1;0;100;109,21;126498,8;100,32;;0;1;100;109,55;126900,7;99,95
