Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio
-20,3;0;100;85,64;165251,2;100,37;;0;20,4;100;85,26;164532,6;99,67;;20,5;0;100;99,11;191260;100,46;;0;-20,3;100;101,14;195170,4;100,27
-21,5;0;100;85,51;165006,1;100,48;;0;21,6;100;85,32;164641,5;99,92;;21,7;0;100;97,31;187784,6;99,98;;0;-21,6;100;101,25;195388,4;100,35
-22,7;0;100;85,18;164373;100,49;;0;22,8;100;85,29;164584,6;99,69;;22,9;0;100;98,33;189738,2;99,7;;0;-22,8;100;102,2;197210,2;100,58
-23,9;0;100;85,47;164924,2;100,35;;0;24,1;100;85,25;164503,6;99,66;;24,2;0;100;97,88;188871,6;100,04;;0;-24;100;101,46;195782,5;100,13
-25,1;0;100;84,98;163980,5;100,12;;0;25,2;100;85,22;164450,1;99,65;;25,4;0;100;97,57;188286,2;99,74;;0;-25,2;100;99,99;192942,2;100,21
-26,3;0;100;84,99;164005,2;99,96;;0;26,4;100;84,88;163790,1;99,34;;26,6;0;100;97,7;188528,6;99,95;;0;-26,4;100;100,07;193104,1;100,7
-27,6;0;100;84,99;164013,1;99,95;;0;27,7;100;84,94;163900,9;99,24;;27,8;0;100;98,93;190905,6;100,11;;0;-27,6;100;99,34;191696,3;100,66
-28,7;0;100;84,89;163813,2;99,95;;0;28,9;100;84,55;163153,6;98,91;;29;0;100;100,19;193336,9;100,21;;0;-28,8;100;99;191029,5;100,8
-29,9;0;100;85,26;164532,9;99,84;;0;30,1;100;84,87;163779,6;99,11;;30,2;0;100;99,88;192745,1;100,38;;0;-30,1;100;98,98;190999,8;100,94
-31,1;0;100;84,51;163086;99,37;;0;31,3;100;84,62;163292,8;99,05;;31,4;0;100;101,3;195475,1;100,14;;0;-31,3;100;99,32;191665;100,57
-32,4;0;100;84,6;163259,6;99,34;;0;32,5;100;84,1;162287,4;98,42;;32,6;0;100;100,9;194701;100,15;;0;-32,6;100;99,78;192542,4;100,49
-33,6;0;100;84,44;162940,4;99,14;;0;33,7;100;84,36;162795,6;98,63;;33,8;0;100;101,11;195105,6;100,07;;0;-33,7;100;99,64;192277,4;100,16
-34,8;0;100;84,31;162689,5;98,96;;0;34,9;100;84,16;162395,3;98,37;;35;0;100;100,51;193954,7;100,03;;0;-34,9;100;99;191043,4;99,93
-36;0;100;84,2;162476,5;98,77;;0;36,1;100;83,57;161262,7;98,1;;36,3;0;100;99,04;191116,7;99,9;;0;-36,1;100;99,87;192715,1;99,57
-37,2;0;100;83,7;161515;98,55;;0;37,3;100;83,61;161348,2;97,82;;37,4;0;100;97,95;189006,9;99,3;;0;-37,3;100;100,49;193907,2;99,78
-38,4;0;100;83,37;160882;98,18;;0;38,6;100;83,09;160344,8;97,65;;38,7;0;100;97,17;187498,9;99,29;;0;-38,6;100;100,18;193321,9;99,57
-39,7;0;100;83,21;160562;97,93;;0;39,7;100;83,09;160347,3;97,55;;39,9;0;100;96,84;186871,1;99,05;;0;-39,8;100;100;192968,3;99,23
-40,9;0;100;83,27;160692;97,58;;0;40,9;100;83,03;160218,1;97,18;;41,1;0;100;97,15;187472,3;98,33;;0;-41;100;99,28;191576;98,64
-42,1;0;100;82,83;159838,4;97,2;;0;42,1;100;82,81;159800,3;96,89;;42,3;0;100;96,58;186377,5;97,74;;0;-42,1;100;97,09;187344,6;98,03
-43,3;0;100;82,86;159899;97,08;;0;43,4;100;82,41;159027,2;96,46;;43,6;0;100;95,43;184151;96,76;;0;-43,3;100;95,2;183699,3;97,2
-44,5;0;100;82,34;158896,6;96,58;;0;44,6;100;81,87;157990,8;95,94;;44,8;0;100;95,34;183983,7;96,45;;0;-44,6;100;94,63;182604,7;96,52
-45,7;0;100;82,09;158409;96,41;;0;45,9;100;81,53;157318,9;95,37;;46;0;100;94,88;183091,5;95,52;;0;-45,8;100;93,44;180303,1;95,31
-47;0;100;81,49;157244,1;95,71;;0;47;100;80,76;155838,1;94,79;;47,2;0;100;94,8;182928,5;94,3;;0;-47;100;92,53;178563,3;94,23
-48,2;0;100;80,55;155435,6;94,39;;0;48,2;100;80,38;155110,9;93,8;;48,4;0;100;92,85;179176,3;91,83;;0;-48,2;100;92,38;178264,8;92,48
-49,3;0;100;79,05;152541,8;92,64;;0;49,4;100;78,78;152019,9;92,03;;49,6;0;100;90,2;174065,1;89,68;;0;-49,4;100;89,3;172312,8;90,03
-50,6;0;100;76,58;147780,9;89,54;;0;50,7;100;76,49;147593;89,3;;50,8;0;100;86,5;166924,5;86,05;;0;-50,6;100;86,21;166355,6;86,62
-51,8;0;100;71,46;137896,4;83,53;;0;51,9;100;72,32;139560,2;84,26;;52;0;100;79,87;154123,2;81,02;;0;-51,8;100;82,06;158359,1;81,5
-53;0;100;63,73;122981,6;74,35;;0;53;100;64,69;124824,3;75,59;;53,2;0;100;72,76;140398,9;73,85;;0;-53;100;75,03;144777,1;74,29
-54,2;0;100;53,86;103937,5;63,16;;0;54,2;100;54,76;105673,4;63,92;;54,5;0;100;63,98;123452,5;64,9;;0;-54,3;100;65,39;126176,2;64,3
-55,4;0;100;43,33;83613,9;50,83;;0;55,5;100;43,67;84269,4;51,1;;55,7;0;100;53,25;102757,9;54,19;;0;-55,4;100;54,33;104835,3;53,4
-56,7;0;100;33,44;64526,2;39,29;;0;56,7;100;32,85;63394,2;38,64;;56,9;0;100;42,5;82007,6;43,1;;0;-56,7;100;42,68;82366,2;41,9
-57,9;0;100;25,67;49531,5;30,28;;0;57,9;100;23,67;45676,3;28,03;;58,1;0;100;32,51;62735,6;33,26;;0;-57,9;100;32,17;62074;31,76
-59,1;0;100;19,83;38262,3;23,45;;0;59,1;100;17,58;33914,6;20,88;;59,3;0;100;24,95;48142,6;25,55;;0;-59,1;100;24,22;46733,4;24,39
-60,3;0;100;15,93;30734,9;18,8;;0;60,3;100;14,26;27515;16,83;;60,5;0;100;20,31;39198,3;20,79;;0;-60,4;100;19,07;36792,7;19,46
-61,5;0;100;13,4;25856,9;15,83;;0;61,5;100;12,47;24057,8;14,69;;61,7;0;100;17,26;33301,9;17,46;;0;-61,5;100;16,14;31142,9;16,46
-62,7;0;100;12,1;23350;14,21;;0;62,8;100;11,19;21598,7;13,15;;63;0;100;15,03;29009,6;15,11;;0;-62,8;100;13,93;26878,1;14,16
-63,9;0;100;11,21;21637;13,17;;0;64;100;10,56;20385,6;12,32;;64,1;0;100;13,38;25820,4;13,26;;0;-64;100;12,4;23925,4;12,48
-65,1;0;100;10,57;20400,4;12,39;;0;65,2;100;9,81;18939,7;11,51;;65,4;0;100;11,84;22842,7;11,83;;0;-65,2;100;10,93;21099,1;11,12
-66,4;0;100;9,95;19204;11,68;;0;66,4;100;9,39;18111,1;10,96;;66,6;0;100;10,84;20916,9;10,81;;0;-66,4;100;9,76;18840,4;9,95
-67,6;0;100;9,5;18338,8;11,13;;0;67,7;100;8,87;17111,1;10,35;;67,8;0;100;9,64;18610,3;9,86;;0;-67,7;100;8,98;17329,2;8,95
-68,8;0;100;9,23;17807,6;10,79;;0;68,8;100;8,47;16349,6;9,91;;69;0;100;8,94;17249,2;9,13;;0;-68,9;100;8,08;15597;8,12
-70;0;100;8,84;17055,7;10,37;;0;70,1;100;8,01;15447,9;9,4;;70,2;0;100;8,25;15910,8;8,45;;0;-70,1;100;7,44;14365,2;7,46
-71,2;0;100;8,49;16374,1;9,95;;0;71,3;100;7,71;14878,8;9,02;;71,4;0;100;7,73;14911,1;7,91;;0;-71,4;100;6,9;13320,8;6,94
-72,4;0;100;8,21;15848,3;9,66;;0;72,5;100;7,39;14267,8;8,64;;72,6;0;100;7,4;14273,1;7,52;;0;-72,5;100;6,6;12741,7;6,57
-73,6;0;100;7,97;15388,8;9,35;;0;73,8;100;7,12;13746,5;8,34;;73,9;0;100;7,01;13524,2;7,11;;0;-73,7;100;6,24;12036,4;6,15
-74,8;0;100;7,66;14781,1;8,99;;0;75;100;6,84;13193,5;8,01;;75,1;0;100;6,66;12843;6,77;;0;-74,9;100;5,79;11170;5,76
-76;0;100;7,42;14322,9;8,71;;0;76,1;100;6,62;12771;7,75;;76,3;0;100;6,36;12281,1;6,43;;0;-76,2;100;5,5;10616,3;5,51
-77,3;0;100;7,12;13733,3;8,37;;0;77,4;100;6,37;12286,1;7,45;;77,5;0;100;6,19;11950,5;6,18;;0;-77,3;100;5,15;9937,6;5,22
-78,5;0;100;6,98;13470;8,2;;0;78,6;100;6,16;11884;7,21;;78,7;0;100;5,92;11416,9;5,89;;0;-78,6;100;4,69;9043,8;4,82
-79,7;0;100;6,74;13015,1;7,91;;0;79,8;100;5,96;11502,4;6,97;;79,9;0;100;5,83;11242,8;5,75;;0;-79,8;100;4,56;8804,1;4,65
-80,9;0;100;6,53;12601,7;7,68;;0;81;100;5,82;11234;6,78;;81,1;0;100;5,62;10852,9;5,59;;0;-81;100;4,33;8350,9;4,41
-82,1;0;100;6,26;12077,3;7,35;;0;82,3;100;5,47;10546,8;6,43;;82,3;0;100;5,26;10159,1;5,31;;0;-82,3;100;4,17;8054;4,24
-83,3;0;100;6,11;11793;7,16;;0;83,4;100;5,38;10373,4;6,29;;83,6;0;100;4,98;9614,2;5,09;;0;-83,4;100;4,06;7832,3;4,08
-84,5;0;100;5,84;11267,6;6,86;;0;84,7;100;5,11;9861,6;5,99;;84,8;0;100;4,84;9336,6;4,95;;0;-84,6;100;3,86;7440;3,89
-85,7;0;100;5,72;11045,8;6,71;;0;85,9;100;4,94;9539,3;5,79;;86;0;100;4,64;8952,5;4,74;;0;-85,9;100;3,74;7219,1;3,75
-87;0;100;5,58;10760;6,53;;0;87,1;100;4,83;9317;5,64;;87,2;0;100;4,53;8738,5;4,62;;0;-87,1;100;3,61;6972,5;3,63
-88,1;0;100;5,45;10512,1;6,4;;0;88,3;100;4,59;8848,5;5,39;;88,4;0;100;4,38;8445,2;4,44;;0;-88,4;100;3,45;6663,1;3,46
-89,4;0;100;5,41;10448,2;6,31;;0;89,6;100;4,53;8739,2;5,31;;89,6;0;100;4,29;8280,6;4,31;;0;-89,5;100;3,33;6433,1;3,32
-90,6;0;100;5,14;9910,9;6,03;;0;90,7;100;4,48;8654,4;5,22;;90,8;0;100;4,14;7984,3;4,15;;0;-90,7;100;3,27;6301,7;3,26
-91,8;0;100;4,96;9574,3;5,81;;0;91,9;100;4,29;8276,2;5,02;;92,1;0;100;3,93;7584,4;3,94;;0;-91,9;100;3,12;6016,5;3,15
-93;0;100;4,92;9497,6;5,74;;0;93,2;100;4,14;7980,1;4,84;;93,3;0;100;3,85;7429,8;3,83;;0;-93,2;100;2,98;5745,6;3,02
-94,2;0;100;4,73;9126,7;5,56;;0;94,3;100;4,03;7781,2;4,71;;94,5;0;100;3,86;7440,8;3,83;;0;-94,4;100;2,85;5494,7;2,94
-95,5;0;100;4,62;8922,3;5,43;;0;95,6;100;3,93;7577,9;4,59;;95,7;0;100;3,73;7195,3;3,7;;0;-95,6;100;2,93;5660,9;2,97
-96,7;0;100;4,44;8561,5;5,23;;0;96,7;100;3,8;7336,4;4,46;;96,9;0;100;3,58;6909,6;3,58;;0;-96,8;100;2,62;5063,9;2,7
-97,9;0;100;4,42;8536,7;5,17;;0;98,1;100;3,71;7154;4,32;;98,1;0;100;3,48;6712,2;3,49;;0;-98;100;2,57;4953,8;2,61
-99,1;0;100;4,31;8313,5;5,05;;0;99,3;100;3,55;6842,2;4,15;;99,3;0;100;3,37;6507,5;3,42;;0;-99,2;100;2,52;4861,2;2,54
-100,3;0;100;4,11;7936,7;4,84;;0;100,5;100;3,47;6692,1;4,06;;100,6;0;100;3,25;6272;3,31;;0;-100,4;100;2,47;4763,8;2,49
-101,6;0;100;4,03;7779,9;4,73;;0;101,7;100;3,42;6591,8;4,01;;101,8;0;100;3,12;6020,6;3,19;;0;-101,7;100;2,35;4527,4;2,36
-102,8;0;100;3,96;7633,3;4,65;;0;103;100;3,41;6585;3,99;;103;0;100;3,05;5881,7;3,11;;0;-102,8;100;2,43;4689,9;2,41
-104;0;100;3,87;7468,1;4,53;;0;104,1;100;3,41;6572,1;3,97;;104,2;0;100;3,06;5897,5;3,07;;0;-104,1;100;2,22;4285,3;2,23
-105,2;0;100;3,68;7109;4,32;;0;105,4;100;3,19;6161;3,74;;105,4;0;100;2,95;5686,2;2,97;;0;-105,3;100;2,21;4268,8;2,19
-106,4;0;100;3,6;6948;4,23;;0;106,5;100;3,13;6030,4;3,66;;106,6;0;100;2,88;5560,7;2,9;;0;-106,5;100;2,23;4309,1;2,19
-107,7;0;100;3,5;6762,5;4,12;;0;107,8;100;3,04;5871,9;3,57;;107,8;0;100;2,8;5406,2;2,83;;0;-107,7;100;2,1;4058,2;2,1
-108,9;0;100;3,57;6891,9;4,16;;0;109;100;2,95;5691,3;3,46;;109;0;100;2,72;5257,9;2,72;;0;-108,9;100;2,03;3914,4;2,06
-110;0;100;3,41;6572,4;4,01;;0;110,2;100;2,93;5646,6;3,4;;110,2;0;100;2,63;5082,1;2,62;;0;-110,1;100;2,04;3928,5;2,06
-111,3;0;100;3,28;6330,4;3,86;;0;111,4;100;2,75;5301,7;3,23;;111,4;0;100;2,67;5154,6;2,62;;0;-111,3;100;1,98;3829,9;2,03
-112,5;0;100;3,22;6213,5;3,78;;0;112,6;100;2,72;5256,8;3,19;;112,6;0;100;2,55;4917,4;2,55;;0;-112,6;100;1,89;3654,6;1,93
-113,7;0;100;3,19;6164,6;3,74;;0;113,9;100;2,61;5040,2;3,08;;113,9;0;100;2,48;4793,1;2,49;;0;-113,7;100;1,84;3552,7;1,87
-114,9;0;100;3,1;5984,3;3,63;;0;115;100;2,6;5022,4;3,05;;115,1;0;100;2,37;4578,9;2,42;;0;-115;100;1,85;3579,6;1,87
-116,2;0;100;2,93;5661,7;3,46;;0;116,2;100;2,52;4871,5;2,96;;116,3;0;100;2,35;4537,8;2,41;;0;-116,2;100;1,77;3415,4;1,79
-117,4;0;100;2,88;5565,6;3,4;;0;117,5;100;2,52;4853,4;2,94;;117,5;0;100;2,3;4433,7;2,35;;0;-117,4;100;1,87;3603;1,84
-118,6;0;100;2,91;5621,2;3,41;;0;118,7;100;2,51;4841,5;2,92;;118,7;0;100;2,28;4397,5;2,3;;0;-118,6;100;1,74;3359,5;1,74
-119,8;0;100;2,87;5531,6;3,37;;0;119,8;100;2,35;4535,4;2,77;;119,9;0;100;2,12;4100;2,18;;0;-119,8;100;1,75;3380,8;1,73
-121;0;100;2,76;5317,6;3,24;;0;121;100;2,38;4601,4;2,78;;121,1;0;100;2,2;4247,4;2,2;;0;-121;100;1,72;3312,1;1,69
-122,2;0;100;2,68;5166,2;3,15;;0;122,3;100;2,36;4545,6;2,75;;122,3;0;100;2,09;4036,6;2,11;;0;-122,2;100;1,64;3165,8;1,61
-123,4;0;100;2,63;5079,4;3,09;;0;123,5;100;2,33;4500,7;2,72;;123,5;0;100;2,08;4012,4;2,11;;0;-123,4;100;1,6;3095;1,56
-124,6;0;100;2,61;5028,2;3,05;;0;124,6;100;2,29;4423,3;2,68;;124,7;0;100;2,08;4018,5;2,08;;0;-124,7;100;1,62;3125,8;1,58
-125,8;0;100;2,56;4942,3;3;;0;125,9;100;2,2;4241,5;2,57;;125,9;0;100;2,09;4025,9;2,07;;0;-125,9;100;1,55;2986,1;1,56
-127;0;100;2,49;4804,8;2,92;;0;127,1;100;2,19;4229,5;2,55;;127,1;0;100;2,09;4036,2;2,05;;0;-127,1;100;1,53;2960,3;1,55
-128,3;0;100;2,43;4683,2;2,85;;0;128,2;100;2,1;4047,9;2,45;;128,3;0;100;1,95;3767,5;1,96;;0;-128,3;100;1,5;2900,3;1,52
-129,5;0;100;2,41;4649,7;2,8;;0;129,5;100;2;3862,5;2,35;;129,5;0;100;1,87;3608;1,91;;0;-129,6;100;1,48;2865;1,51
-130,7;0;100;2,26;4368,8;2,67;;0;130,7;100;2;3852,8;2,33;;130,8;0;100;1,78;3432;1,84;;0;-130,7;100;1,46;2824,8;1,48
-131,9;0;100;2,27;4373,3;2,66;;0;131,9;100;1,97;3808,5;2,31;;132;0;100;1,98;3829,4;1,99;;0;-132;100;1,44;2777,6;1,45
-133,1;0;100;2,31;4462;2,69;;0;133,1;100;2,01;3879,6;2,35;;133,2;0;100;1,74;3360,2;1,79;;0;-133,2;100;1,46;2822,7;1,47
-134,3;0;100;2,19;4233,1;2,59;;0;134,4;100;1,96;3780,8;2,29;;134,4;0;100;1,73;3339;1,76;;0;-134,3;100;1,4;2707,1;1,42
-135,5;0;100;2,17;4180,4;2,54;;0;135,6;100;1,91;3682,3;2,24;;135,7;0;100;1,76;3397,5;1,77;;0;-135,6;100;1,38;2667,6;1,39
-136,7;0;100;2,16;4168;2,53;;0;136,8;100;1,93;3716;2,25;;136,9;0;100;1,68;3240,9;1,69;;0;-136,8;100;1,41;2715;1,4
-137,9;0;100;2,08;4014,1;2,44;;0;137,9;100;1,87;3605;2,18;;138,1;0;100;1,66;3209,7;1,66;;0;-138;100;1,36;2633,3;1,37
-139,1;0;100;2,01;3881,9;2,37;;0;139,2;100;1,79;3455,4;2,1;;139,3;0;100;1,63;3141,9;1,63;;0;-139,3;100;1,5;2899,2;1,45
-140,4;0;100;2,02;3898,9;2,38;;0;140,4;100;1,75;3376,8;2,05;;140,5;0;100;1,6;3087,5;1,6;;0;-140,4;100;1,31;2530,8;1,32
-141,6;0;100;2,06;3983,5;2,4;;0;141,6;100;1,81;3483,4;2,1;;141,7;0;100;1,61;3115,2;1,6;;0;-141,6;100;1,4;2707,1;1,37
-142,8;0;100;2;3868,4;2,36;;0;142,8;100;1,75;3385,1;2,06;;142,9;0;100;1,66;3212,1;1,64;;0;-142,8;100;1,31;2519,6;1,3
-144;0;100;1,97;3803,6;2,3;;0;144;100;1,8;3472,4;2,1;;144,1;0;100;1,64;3166,5;1,63;;0;-144,1;100;1,29;2488,6;1,29
-145,2;0;100;1,91;3683,4;2,24;;0;145,2;100;1,76;3388,5;2,05;;145,3;0;100;1,47;2835,9;1,51;;0;-145,3;100;1,27;2444,3;1,28
-146,4;0;100;1,87;3610,8;2,19;;0;146,4;100;1,69;3267,3;1,98;;146,6;0;100;1,49;2879,8;1,52;;0;-146,5;100;1,24;2402;1,26
-147,6;0;100;1,81;3491,7;2,13;;0;147,7;100;1,6;3091,3;1,89;;147,7;0;100;1,48;2848;1,5;;0;-147,6;100;1,19;2303,4;1,22
-148,8;0;100;1,82;3510,2;2,13;;0;148,9;100;1,63;3137,2;1,9;;149;0;100;1,38;2658,3;1,42;;0;-148,9;100;1,24;2390,7;1,25
-150,1;0;100;1,85;3563;2,15;;0;150,1;100;1,64;3169,4;1,92;;150,2;0;100;1,49;2869,5;1,48;;0;-150,2;100;1,23;2382,6;1,25
-151,2;0;100;1,8;3464,3;2,11;;0;151,3;100;1,63;3144,7;1,91;;151,3;0;100;1,42;2740,4;1,44;;0;-151,4;100;1,2;2320,1;1,22
-152,5;0;100;1,77;3411,5;2,07;;0;152,4;100;1,61;3116,2;1,88;;152,6;0;100;1,49;2869,6;1,48;;0;-152,6;100;1,21;2344,4;1,22
-153,7;0;100;1,75;3382,7;2,05;;0;153,7;100;1,52;2942,4;1,8;;153,8;0;100;1,35;2611,9;1,38;;0;-153,8;100;1,23;2381,7;1,23
-155;0;100;1,72;3313;2,01;;0;155;100;1,53;2953,3;1,79;;155;0;100;1,42;2733,5;1,4;;0;-155,3;100;1,22;2346,6;1,2
