Measurement time:; 04/09/2023 17:41:27;;;;;;Measurement time:; 04/09/2023 17:41:55;;;;;;Measurement time:; 04/09/2023 17:42:46;;;;;;Measurement time:; 04/09/2023 17:44:12;;;;
Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;
Energy:; 6 MV ;;;;;;Energy:; 23 MV ;;;;;;Energy:; 6 MV ;;;;;;Energy:; 23 MV ;;;;
Controller:; CCU;;;;;;Controller:; CCU;;;;;;Controller:; CCU;;;;;;Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;
Field size:; 150 x 150 mm;;;;;;Field size:; 150 x 150 mm;;;;;;Field size:; 150 x 150 mm;;;;;;Field size:; 150 x 150 mm;;;;
Gantry angle:;0;;;;;;Gantry angle:;0;;;;;;Gantry angle:;0;;;;;;Gantry angle:;0;;;;
Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;
Scan type:; Crossline;;;;;;Scan type:; Crossline;;;;;;Scan type:; Crossline;;;;;;Scan type:; Crossline;;;;
Scan mode:; Continuous;;;;;;Scan mode:; Continuous;;;;;;Scan mode:; Continuous;;;;;;Scan mode:; Continuous;;;;
Wedge:; none;;;;;;Wedge:; none;;;;;;Wedge:; none;;;;;;Wedge:; none;;;;
;;;Crossline X6 Ouverture;;;;;;;Crossline X23 Ouverture;;;;;;;Crossline X6 Fermeture;;;;;;;Crossline X23 Fermeture;;
Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;120;100;42,8;12333,2;6,81;;0;120;100;27,29;7863,6;4,57;;0;120;100;42,72;12308,6;6,66;;0;120;100;25,03;7212,4;3,96
0;118,9;100;41,58;11979,7;6,84;;0;118,9;100;28,83;8306,9;4,29;;0;118,9;100;41,13;11850,8;6,77;;0;118,9;100;28,99;8353;4,23
0;117,1;100;43,97;12669,9;7,18;;0;117,2;100;31,4;9046,8;4,52;;0;117,1;100;43,5;12533,4;7,14;;0;117,1;100;30,08;8668;4,43
0;115,8;100;45,2;13023,3;7,41;;0;115,8;100;32,71;9425,7;4,69;;0;115,8;100;44,46;12809,8;7,31;;0;115,8;100;31,91;9195,5;4,65
0;114,6;100;46,7;13456,8;7,62;;0;114,7;100;33,54;9663;4,84;;0;114,6;100;45,67;13160,3;7,51;;0;114,6;100;33,77;9731,3;4,86
0;113,6;100;47,25;13613;7,76;;0;113,6;100;34,68;9993,5;5,04;;0;113,5;100;47,1;13571,1;7,73;;0;113,5;100;34,57;9962;4,98
0;112,4;100;48,94;14100;8,01;;0;112,5;100;35,3;10171,5;5,2;;0;112,4;100;48,13;13868,5;7,92;;0;112,4;100;35,95;10359,5;5,18
0;111,2;100;50,02;14412,8;8,2;;0;111,2;100;36,29;10456,3;5,34;;0;111,2;100;50,08;14429,4;8,22;;0;111,2;100;36,24;10440,9;5,35
0;110;100;52,23;15050,6;8,52;;0;110;100;37,59;10830,3;5,5;;0;109,9;100;51,69;14894,6;8,5;;0;110;100;38,03;10957,3;5,55
0;108,7;100;52,77;15204,1;8,65;;0;108,8;100;40,01;11529,1;5,83;;0;108,7;100;53,19;15324,9;8,75;;0;108,7;100;39,09;11262,8;5,78
0;107,5;100;54,58;15727,4;8,91;;0;107,5;100;41,67;12007,3;6,03;;0;107,5;100;54,84;15801;9,03;;0;107,5;100;41,01;11815,4;5,98
0;106,3;100;56,58;16302,8;9,27;;0;106,4;100;43,87;12639,3;6,27;;0;106,3;100;56,21;16195,7;9,25;;0;106,3;100;42,85;12346,2;6,23
0;105,1;100;58,72;16919,5;9,6;;0;105,1;100;45,81;13197,9;6,6;;0;105,1;100;57,84;16666,3;9,5;;0;105,1;100;45,46;13098,6;6,52
0;103,9;100;59,63;17182,1;9,79;;0;103,9;100;45,88;13218,9;6,8;;0;103,9;100;59,73;17209,7;9,81;;0;103,9;100;46,7;13455,5;6,81
0;102,7;100;62,11;17896,5;10,17;;0;102,8;100;48,45;13961,3;7,15;;0;102,7;100;61,21;17636,3;10,09;;0;102,7;100;47,65;13728,7;7,04
0;101,5;100;64,22;18503;10,51;;0;101,5;100;51,17;14743,4;7,5;;0;101,5;100;64,07;18461,4;10,5;;0;101,5;100;50,22;14468,9;7,41
0;100,3;100;66,39;19128,4;10,86;;0;100,4;100;53,82;15505,9;7,87;;0;100,3;100;65,98;19011,5;10,85;;0;100,3;100;53,25;15342;7,81
0;99,1;100;68,33;19689,3;11,19;;0;99,1;100;57,82;16659;8,37;;0;99,1;100;68,17;19642;11,2;;0;99,1;100;56,46;16266,8;8,28
0;97,9;100;71,01;20459,7;11,61;;0;97,9;100;61,37;17681,9;8,82;;0;97,8;100;70,81;20401,2;11,64;;0;97,9;100;60,03;17295,9;8,77
0;96,7;100;73,77;21255,5;12,08;;0;96,8;100;65,57;18891,7;9,38;;0;96,6;100;73,29;21118,4;12,07;;0;96,7;100;65,55;18888,3;9,43
0;95,5;100;76,53;22050,3;12,52;;0;95,5;100;70,69;20367,8;10,17;;0;95,4;100;75,89;21865,4;12,5;;0;95,4;100;69,23;19946,5;10,09
0;94,3;100;79,74;22974,4;13,07;;0;94,3;100;74,86;21570,5;11;;0;94,2;100;79,03;22771,9;12,97;;0;94,3;100;72,89;21003,2;10,81
0;93;100;83;23915,8;13,6;;0;93,1;100;81,56;23499,9;12;;0;93;100;82,31;23717,2;13,56;;0;93,1;100;79,25;22833,8;11,79
0;91,9;100;87,35;25167;14,32;;0;91,9;100;90,27;26008,6;13,25;;0;91,8;100;87,16;25112,3;14,29;;0;91,9;100;87,66;25259,1;12,9
0;90,6;100;92,63;26690,9;15,18;;0;90,7;100;100,15;28857,3;14,67;;0;90,6;100;91,51;26366,7;15,02;;0;90,6;100;98,15;28279,8;14,37
0;89,4;100;99,33;28621,2;16,32;;0;89,5;100;113,46;32691,7;16,52;;0;89,4;100;97,45;28077,9;16,03;;0;89,5;100;111,78;32208,3;16,14
0;88,2;100;109,59;31575,9;18,03;;0;88,4;100;131,55;37902,7;18,88;;0;88,2;100;107,15;30874,8;17,61;;0;88,3;100;127,54;36748,3;18,38
0;87;100;125,91;36278,9;20,81;;0;87,1;100;155,37;44767,7;22,42;;0;87;100;121,69;35062,3;20,17;;0;87;100;150,52;43370,1;21,7
0;85,8;100;156,75;45164,4;25,98;;0;85,9;100;188,52;54318,8;27,62;;0;85,8;100;148,15;42686,4;24,7;;0;85,8;100;182,61;52617,1;26,67
0;84,6;100;210,49;60649,1;34,67;;0;84,7;100;240,66;69341,4;35,4;;0;84,6;100;199,15;57380,7;32,81;;0;84,6;100;231,91;66820,2;34,26
0;83,4;100;279,31;80478,9;45,85;;0;83,5;100;307,21;88516,6;45,54;;0;83,4;100;265,54;76511,9;43,62;;0;83,4;100;297,55;85735,1;43,94
0;82,2;100;352,62;101601,5;57,66;;0;82,3;100;385,12;110964,8;56,53;;0;82,2;100;339,59;97847,1;55,74;;0;82,2;100;376,09;108362,4;54,93
0;81;100;427,33;123127,4;69,73;;0;81,1;100;463,11;133437,3;67,55;;0;80,9;100;412,58;118877,5;67,71;;0;81;100;456,61;131563,5;65,93
0;79,8;100;488,31;140698,5;79,69;;0;79,9;100;528,12;152167,9;76,55;;0;79,8;100;475,12;136897,7;77,69;;0;79,8;100;522,62;150584,4;75,41
0;78,5;100;530,82;152944,9;86,62;;0;78,7;100;581,24;167474,2;83,42;;0;78,5;100;522,73;150616,4;85,41;;0;78,6;100;578,92;166805,1;82,44
0;77,3;100;550,28;158554,3;89,98;;0;77,4;100;608,08;175208,4;87,79;;0;77,3;100;546,9;157579,9;89,59;;0;77,4;100;608,28;175264,6;86,82
0;76,1;100;562,63;162112,2;91,94;;0;76,2;100;624,53;179948,3;90,51;;0;76,1;100;560,78;161579,2;91,94;;0;76,2;100;620,05;178656,9;89,86
