Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;123;100;99,06;6042,3;2,71;;0;0;285,5;1247,7;76101,2;21,81;;0;-95,4;100;110,13;6717,1;4,87;;0;0;285,5;832,88;50799,7;24,69
0;121,8;100;100,06;6103,2;2,75;;0;0;284,3;1262,47;77001,9;22,24;;0;-94,2;100;114,01;6953,9;5,03;;0;0;284,3;834,94;50925,9;24,78
0;120,6;100;104,09;6348,9;2,84;;0;0;283,1;1272;77583,1;22,23;;0;-93;100;114,86;7005,8;5,08;;0;0;283,1;843,42;51442,7;24,98
0;119,4;100;104,09;6349;2,85;;0;0;281,9;1283,41;78279,3;22,51;;0;-91,8;100;117,85;7188,1;5,24;;0;0;281,9;845,81;51588,9;25,15
0;118,2;100;106,07;6469,7;2,9;;0;0;280,7;1291,81;78791,9;22,63;;0;-90,6;100;127,39;7769,7;5,6;;0;0;280,7;853,19;52039;25,31
0;117;100;107,9;6581;2,95;;0;0;279,5;1297,06;79111,8;22,83;;0;-89,4;100;128,39;7830,8;5,66;;0;0;279,5;859,32;52412,6;25,49
0;115,8;100;109,02;6649,8;2,99;;0;0;278,3;1309,13;79848,3;22,88;;0;-88,2;100;128,76;7853,7;5,71;;0;0;278,3;865,94;52816,7;25,71
0;114,6;100;111,49;6800,2;3,06;;0;0;277,1;1320,17;80521,5;23,09;;0;-86,9;100;134,09;8178,8;5,91;;0;0;277,1;870,79;53112,1;25,84
0;113,4;100;116,03;7077,2;3,16;;0;0;275,9;1328,81;81048,2;23,21;;0;-85,8;100;137,81;8405,8;6,1;;0;0;275,9;877,11;53497,9;26
0;112,2;100;117,23;7150,4;3,21;;0;0;274,6;1336,48;81516,2;23,38;;0;-84,5;100;144,94;8840,4;6,37;;0;0;274,7;874,85;53359,7;26
0;110,9;100;119,64;7297;3,27;;0;0;273,5;1344,79;82022,8;23,56;;0;-83,3;100;146,78;8952,7;6,51;;0;0;273,4;885,18;53990,1;26,28
0;109,8;100;120,99;7379,4;3,31;;0;0;272,2;1358,82;82878,9;23,81;;0;-82,1;100;154,71;9436,2;6,82;;0;0;272,3;893,47;54495,8;26,55
0;108,6;100;123,99;7562,5;3,39;;0;0;271,1;1364,88;83248,2;23,98;;0;-80,9;100;157,49;9606;6,96;;0;0;271,1;897,8;54759,9;26,69
0;107,3;100;125,64;7663,1;3,44;;0;0;269,8;1374,14;83813,2;24,03;;0;-79,7;100;161,58;9855,5;7,17;;0;0;269,9;900,33;54914,1;26,82
0;106,2;100;131,46;8018,3;3,56;;0;0;268,6;1381,94;84288,8;24,12;;0;-78,5;100;169,97;10367,1;7,49;;0;0;268,6;906,11;55266,3;26,99
0;104,9;100;134,15;8182,3;3,64;;0;0;267,4;1394,19;85036,2;24,26;;0;-77,3;100;172,01;10491,2;7,64;;0;0;267,4;915,85;55860,5;27,19
0;103,7;100;138,18;8428,3;3,75;;0;0;266,2;1402,32;85532,2;24,37;;0;-76,1;100;180,93;11035,5;8;;0;0;266,2;922,01;56236,2;27,34
0;102,6;100;139,34;8499,1;3,8;;0;0;265;1411,91;86116,6;24,69;;0;-74,9;100;187,72;11449,5;8,31;;0;0;265;927,3;56558,8;27,54
0;101,3;100;141,91;8655,7;3,89;;0;0;263,8;1419,52;86581;24,77;;0;-73,7;100;195,43;11919,7;8,62;;0;0;263,8;931,28;56801,9;27,64
0;100,1;100;147,82;9016,2;4,01;;0;0;262,6;1432,02;87343,5;24,99;;0;-72,5;100;200,97;12258;8,89;;0;0;262,6;939,23;57286,8;27,82
0;98,9;100;150,92;9205,3;4,13;;0;0;261,4;1439,48;87798,4;25,09;;0;-71,3;100;210,59;12844,7;9,29;;0;0;261,4;941,4;57418,8;27,94
0;97,7;100;154,7;9435,6;4,21;;0;0;260,2;1447,71;88300,2;25,18;;0;-70,1;100;219,73;13402,1;9,7;;0;0;260,2;954,41;58212,3;28,31
0;96,5;100;158,87;9690,1;4,35;;0;0;259;1461,55;89144,4;25,53;;0;-68,8;100;230,38;14051,6;10,16;;0;0;259;959,99;58553,1;28,45
0;95,3;100;165,32;10083,2;4,52;;0;0;257,8;1470,29;89677,9;25,75;;0;-67,7;100;238,51;14547,6;10,54;;0;0;257,8;966,88;58973,3;28,62
0;94,1;100;167,9;10240,5;4,6;;0;0;256,5;1472,57;89816,8;25,94;;0;-66,4;100;247,43;15091,5;10,99;;0;0;256,6;968,57;59075,9;28,78
0;92,9;100;174,1;10619,1;4,75;;0;0;255,3;1486,76;90682,5;26,03;;0;-65,2;100;266,24;16238,8;11,75;;0;0;255,4;975,99;59528,7;28,96
0;91,7;100;178,39;10880,7;4,86;;0;0;254,1;1500,38;91512,8;26,19;;0;-64;100;280,97;17137,2;12,47;;0;0;254,2;983,57;59990,9;29,2
0;90,5;100;184,31;11241,5;5,02;;0;0;252,9;1509,63;92077,3;26,4;;0;-62,8;100;305,54;18635,7;13,55;;0;0;253;987,66;60240,7;29,41
0;89,3;100;192,45;11737,9;5,23;;0;0;251,8;1519,27;92665,1;26,68;;0;-61,6;100;340,77;20784,8;15,15;;0;0;251,8;993,82;60616,2;29,46
0;88;100;195,06;11897,3;5,33;;0;0;250,5;1532,18;93452,5;26,81;;0;-60,4;100;396,89;24207,7;17,69;;0;0;250,5;1003,92;61232,6;29,75
0;86,9;100;203,46;12409,5;5,53;;0;0;249,3;1542,52;94083,2;27,06;;0;-59,2;100;496,36;30274,5;22,24;;0;0;249,3;1005,31;61317,1;29,9
0;85,7;100;212,75;12976,1;5,77;;0;0;248,1;1549;94478,3;27,14;;0;-58;100;681,99;41596,6;30,44;;0;0;248,1;1015,54;61941;30,15
0;84,4;100;217,01;13236,2;5,93;;0;0;246,9;1563,92;95388,2;27,5;;0;-56,8;100;945,93;57695;41,86;;0;0;246,9;1018,61;62128;30,25
0;83,2;100;227,34;13866,5;6,15;;0;0;245,7;1578,8;96295,9;27,71;;0;-55,5;100;1233,96;75263,1;54,55;;0;0;245,7;1022,24;62349,5;30,36
0;82;100;232,18;14161,4;6,32;;0;0;244,5;1586,99;96795,6;27,79;;0;-54,3;100;1512,57;92256,3;66,95;;0;0;244,5;1033,22;63019,2;30,69
0;80,8;100;243,62;14859,3;6,66;;0;0;243,3;1597,82;97456,1;28,04;;0;-53,2;100;1756,96;107162,7;77,46;;0;0;243,3;1039,17;63382,1;30,89
0;79,6;100;250,9;15303,3;6,88;;0;0;242;1608,59;98113,1;28,18;;0;-51,9;100;1944,75;118616,3;85,51;;0;0;242,1;1046,61;63836,4;31,14
0;78,4;100;260,19;15869,6;7,08;;0;0;240,8;1615,48;98533,3;28,31;;0;-50,7;100;2047,81;124902,4;90,15;;0;0;240,9;1053,23;64239,7;31,26
0;77,2;100;270,39;16491,8;7,39;;0;0;239,7;1629,7;99400,7;28,34;;0;-49,5;100;2102,28;128224,6;92,83;;0;0;239,6;1063,31;64855;31,51
0;76;100;282,17;17210,7;7,75;;0;0;238,4;1638,71;99950,4;28,66;;0;-48,3;100;2127,08;129737,6;93,97;;0;0;238,4;1069,6;65238,2;31,68
0;74,8;100;295,07;17997,5;8,07;;0;0;237,2;1657;101065,5;29,01;;0;-47,1;100;2151,21;131209;95,04;;0;0;237,2;1075,79;65615,7;31,92
0;73,5;100;310,01;18908,5;8,47;;0;0;236;1668,01;101737,3;29,2;;0;-45,9;100;2165,87;132103,6;95,63;;0;0;236;1079,77;65858,5;32,14
0;72,3;100;320,14;19526,2;8,73;;0;0;234,8;1679,38;102431;29,41;;0;-44,6;100;2174,24;132614;96,14;;0;0;234,8;1089,68;66462,8;32,34
0;71,1;100;336,06;20497,4;9,15;;0;0;233,6;1688,18;102967,3;29,48;;0;-43,5;100;2184,64;133247,9;96,39;;0;0;233,6;1094,73;66770,8;32,55
0;69,9;100;346,15;21113,1;9,47;;0;0;232,4;1702,69;103852,5;29,74;;0;-42,3;100;2192,7;133739,5;96,72;;0;0;232,4;1100,24;67107,1;32,68
0;68,7;100;365,78;22310,4;9,95;;0;0;231,2;1714,36;104564,4;30;;0;-41,1;100;2198,56;134097,1;97,1;;0;0;231,2;1115,55;68041;33,09
0;67,4;100;379,65;23155,9;10,41;;0;0;230;1722,93;105087;30,17;;0;-39,9;100;2209,36;134756,2;97,55;;0;0;229,9;1114,7;67989,1;33,14
0;66,3;100;401,93;24514,9;10,94;;0;0;228,8;1739,12;106074,5;30,43;;0;-38,7;100;2207,8;134660,9;97,52;;0;0;228,8;1127,1;68745,6;33,39
0;65,1;100;422,27;25755,7;11,51;;0;0;227,5;1748,3;106634,4;30,69;;0;-37,4;100;2211,1;134862,3;97,66;;0;0;227,6;1130,42;68947,8;33,59
0;63,8;100;452,64;27608,1;12,33;;0;0;226,4;1757,47;107193,4;30,73;;0;-36,2;100;2218,02;135284,1;98,12;;0;0;226,3;1141,39;69616,9;33,87
0;62,7;100;487,64;29742,5;13,38;;0;0;225,2;1768,99;107896,6;30,89;;0;-35,1;100;2234,36;136280,8;98,6;;0;0;225,1;1146,11;69904,9;34,04
0;61,4;100;538,16;32824,2;14,78;;0;0;223,9;1784,79;108860,1;31,29;;0;-33,8;100;2230,99;136075,5;98,56;;0;0;223,9;1157,76;70615,3;34,29
0;60,2;100;606,93;37018,8;16,72;;0;0;222,8;1799,14;109735,6;31,47;;0;-32,6;100;2242,1;136752,7;99,04;;0;0;222,7;1165,53;71089,4;34,6
0;59,1;100;737,9;45006,9;20,33;;0;0;221,6;1806,94;110210,8;31,73;;0;-31,4;100;2240,61;136662,2;99,16;;0;0;221,5;1171,73;71467,3;34,85
0;57,8;100;997,78;60857,7;27,57;;0;0;220,3;1823,41;111215,8;32,08;;0;-30,3;100;2243,72;136851,7;99,35;;0;0;220,3;1180,96;72030,5;35,06
0;56,6;100;1399,59;85365,3;38,28;;0;0;219,1;1834,01;111862,2;32,17;;0;-29;100;2253,85;137469,3;99,48;;0;0;219,1;1184,88;72269,5;35,21
0;55,4;100;1849,36;112798,4;50,48;;0;0;217,9;1850,26;112853,4;32,42;;0;-27,8;100;2252,72;137400,5;99,54;;0;0;217,9;1191,75;72688,9;35,47
0;54,2;100;2308,74;140817,3;63,24;;0;0;216,7;1860,95;113505,4;32,5;;0;-26,6;100;2252,25;137372,2;99,6;;0;0;216,7;1202,83;73364,3;35,68
0;53;100;2751,3;167810,4;75,19;;0;0;215,5;1866,78;113860,9;32,76;;0;-25,4;100;2257,9;137716,4;99,7;;0;0;215,5;1211,35;73884,1;36
0;51,8;100;3087,54;188319,2;84,44;;0;0;214,3;1886,52;115065,1;33,03;;0;-24,2;100;2259,14;137792,1;99,91;;0;0;214,3;1219,34;74371,5;36,2
0;50,5;100;3296,86;201085,8;90,28;;0;0;213,1;1903,31;116088,9;33,37;;0;-23;100;2262,39;137990,2;100,18;;0;0;213,1;1224,99;74716,1;36,43
0;49,3;100;3385,98;206521,8;92,51;;0;0;211,9;1913,26;116695,9;33,64;;0;-21,8;100;2259,87;137836,6;100,06;;0;0;211,8;1234,13;75273,4;36,68
0;48,1;100;3443,79;210048;94,03;;0;0;210,7;1924,4;117375,4;33,87;;0;-20,6;100;2264,65;138128;99,89;;0;0;210,6;1241,86;75744,8;36,91
0;46,9;100;3480,83;212307,2;95,22;;0;0;209,5;1935,77;118068,5;33,79;;0;-19,4;100;2266,9;138265,2;100,07;;0;0;209,5;1251,36;76324,2;37,14
0;45,7;100;3507,14;213911,7;95,81;;0;0;208,3;1945,23;118645,8;34,2;;0;-18,2;100;2272,63;138615;100,4;;0;0;208,2;1257,93;76725,1;37,41
0;44,5;100;3522,92;214874;96,41;;0;0;207,1;1963,8;119778,6;34,42;;0;-16,9;100;2268,94;138389,8;100,27;;0;0;207;1265,89;77210,5;37,63
0;43,3;100;3554,05;216773,2;96,89;;0;0;205,8;1984,41;121035,3;34,78;;0;-15,8;100;2269,84;138445,1;100,2;;0;0;205,8;1274,31;77724,1;37,78
0;42,1;100;3559,65;217114,4;97,81;;0;0;204,6;1991,98;121497,5;34,74;;0;-14,6;100;2265,14;138158;100,15;;0;0;204,6;1286,36;78458,9;38,16
0;40,9;100;3574,69;218031,5;97,73;;0;0;203,4;2008,96;122533,1;34,96;;0;-13,4;100;2269,73;138438,2;100,23;;0;0;203,4;1293,76;78910,7;38,38
0;39,7;100;3586,38;218744,7;98,25;;0;0;202,2;2022,95;123386;35,19;;0;-12,1;100;2265,83;138200,3;100,06;;0;0;202,2;1301,97;79411,6;38,61
