;;;Crossline X6 Ouverture;;;;;;;Crossline X23 Ouverture;;;;;;;Crossline X6 Fermeture;;;;;;;Rendement X6;;;;;;;Crossline X23 Fermeture;;;;;;;rendement X23;;
Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;50;100;4,91;9265,3;6,14;;0;50;100;4,53;8552;4,82;;0;50;100;4,97;9372,6;6,2;;0;0;300;24,86;46905,2;19,64;;0;-50;100;4,8;9050,5;5,06;;0;0;299,9;41,24;77800,8;34,03
0;48,7;100;5,07;9569,8;6,39;;0;48,8;100;4,94;9323,4;5,26;;0;48,8;100;5,3;9998,3;6,59;;0;0;298,8;25,02;47196,8;19,77;;0;-48,7;100;5,22;9841,6;5,5;;0;0;298,7;42,05;79336,6;34,35
0;47,5;100;5,46;10295,3;6,81;;0;47,6;100;5,44;10254,7;5,78;;0;47,6;100;5,45;10286;6,82;;0;0;297,6;25,22;47586,5;19,94;;0;-47,5;100;5,68;10710,5;6;;0;0;297,6;42,54;80257;34,54
0;46,4;100;5,68;10719,1;7,12;;0;46,4;100;6,01;11331,8;6,34;;0;46,4;100;5,79;10920,8;7,21;;0;0;296,4;25,32;47768,9;19,98;;0;-46,3;100;6,29;11870,9;6,63;;0;0;296,4;42,78;80711,2;34,56
0;45,1;100;6,06;11440,1;7,58;;0;45,2;100;6,9;13019,2;7,17;;0;45,2;100;6,14;11579,1;7,66;;0;0;295,2;25,59;48274,5;20,22;;0;-45,1;100;7,01;13228,9;7,41;;0;0;295,1;43,21;81518,9;34,81
0;43,9;100;6,38;12031;7,98;;0;43,9;100;7,73;14578,1;8;;0;43,9;100;6,59;12424,8;8,22;;0;0;294;25,73;48533,4;20,28;;0;-43,9;100;7,99;15082,3;8,31;;0;0;293,9;42,48;80141,9;34,83
0;42,7;100;6,92;13051,8;8,64;;0;42,8;100;8,57;16159,5;9,06;;0;42,8;100;6,97;13156,4;8,75;;0;0;292,7;25,97;48998;20,51;;0;-42,7;100;9,15;17259,4;9,41;;0;0;292,7;42,12;79463,4;35,07
0;41,5;100;7,61;14357,6;9,51;;0;41,6;100;9,74;18380,3;10,44;;0;41,6;100;7,67;14469,3;9,57;;0;0;291,6;26,03;49110,2;20,58;;0;-41,5;100;10,7;20185,6;10,99;;0;0;291,5;42,55;80264;35,36
0;40,3;100;8,38;15800,6;10,49;;0;40,3;100;11,39;21480,8;12,19;;0;40,4;100;8,47;15986,2;10,61;;0;0;290,3;26,32;49660,2;20,79;;0;-40,3;100;12,45;23478,1;12,93;;0;0;290,3;42,79;80715;35,52
0;39,1;100;9,45;17827,6;11,91;;0;39,1;100;13,85;26135,5;14,67;;0;39,2;100;9,61;18138,4;12,11;;0;0;289,2;26,29;49602,1;20,85;;0;-39,1;100;14,68;27695,5;15,5;;0;0;289,1;43,26;81607,6;35,51
0;37,9;100;11,35;21406,3;14,38;;0;37,9;100;16,87;31822,3;17,88;;0;37,9;100;11,64;21952,3;14,72;;0;0;287,9;26,57;50128,4;21;;0;-37,9;100;17,83;33634,9;18,92;;0;0;287,9;43,53;82125,8;35,79
0;36,6;100;15,12;28524,1;19,19;;0;36,7;100;21,58;40712,8;22,5;;0;36,8;100;15,37;28999,5;19,53;;0;0;286,7;26,73;50435,5;21,13;;0;-36,6;100;22,74;42901,6;24,32;;0;0;286,7;44,1;83187;35,9
0;35,4;100;22,02;41541,2;27,78;;0;35,5;100;28,87;54464,9;29,88;;0;35,5;100;22,66;42741,4;28,59;;0;0;285,6;26,92;50784;21,29;;0;-35,4;100;30,5;57540,4;32,41;;0;0;285,5;44,7;84322,4;36,11
