Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;70,6;100;35032,37;14855,3;9,07;;0;-66,2;100;41745,95;17702,2;10,76;;0;70,9;100;34988;14836,5;9,02;;0;-70,9;100;35265,15;14954;9,1;;0;71;100;34936,2;14814,5;8,99;;0;-54,9;100;220732,41;93600,5;56,77;;0;72,9;100;32984,45;13986,9;8,5
0;69,4;100;36841,53;15622,5;9,52;;0;-64,9;100;44755,14;18978,2;11,5;;0;70;100;36093,06;15305,1;9,31;;0;-69,9;100;36449,42;15456,2;9,4;;0;70;100;36206,06;15353;9,31;;0;-50;100;356142,95;151020,7;91,04;;0;72,5;100;33628,46;14260;8,62
0;68,2;100;38678,85;16401,6;9,99;;0;-63,6;100;47501,45;20142,8;12,29;;0;68,9;100;37461,03;15885,2;9,66;;0;-68,9;100;37666,25;15972,2;9,75;;0;68,9;100;37599,77;15944;9,67;;0;-44,9;100;373521,86;158390,2;96,05;;0;71,9;100;34073,38;14448,7;8,79
0;67;100;40318,44;17096,8;10,43;;0;-62,3;100;51797,08;21964,3;13,34;;0;67,9;100;38989,9;16533,5;10,06;;0;-68;100;39474,08;16738,8;10,17;;0;67,9;100;38951,77;16517,3;10,03;;0;-40;100;379319,47;160848,6;97,55;;0;71,5;100;34776,31;14746,7;8,92
0;65,8;100;42315,13;17943,5;10,96;;0;-61,1;100;57857,49;24534,2;15,02;;0;66,9;100;40663,41;17243,1;10,49;;0;-66,9;100;40631,08;17229,4;10,51;;0;66,9;100;40515,66;17180,5;10,42;;0;-35;100;383741,59;162723,8;98,7;;0;70,9;100;35235,22;14941,3;9,08
0;64,6;100;44857,26;19021,5;11,62;;0;-59,9;100;67889,38;28788,2;17,59;;0;65,9;100;42309,41;17941,1;10,92;;0;-65,9;100;42590,93;18060,5;11,01;;0;65,9;100;42048,41;17830,4;10,83;;0;-33;100;384119,91;162884,2;98,87;;0;70,5;100;35793,8;15178,2;9,21
0;63,4;100;47813,14;20274,9;12,39;;0;-58,7;100;86187,4;36547,4;22,39;;0;65;100;44248,8;18763,5;11,42;;0;-64,9;100;44600,18;18912,5;11,52;;0;64,9;100;44154,11;18723,3;11,36;;0;-23;100;389352,97;165103,3;100,26;;0;70;100;36493,59;15474,9;9,38
0;62,2;100;51903,02;22009,2;13,45;;0;-57,4;100;118879,04;50410,1;30,81;;0;64;100;46377,5;19666,2;11,98;;0;-63,9;100;47152,27;19994,7;12,18;;0;63,9;100;46276,44;19623,3;11,92;;0;-13;100;390014,51;165383,8;100,3;;0;69,5;100;36994,14;15687,2;9,53
0;61;100;57007,69;24173,8;14,81;;0;-56,3;100;161293,88;68395,9;41,59;;0;62,9;100;49134,75;20835,4;12,71;;0;-62,9;100;50076,95;21234,9;12,94;;0;62,9;100;49129,08;20832,9;12,67;;0;-2,9;100;388497,39;164740,5;99,98;;0;69;100;37698,32;15985,8;9,69
0;59,8;100;65882,86;27937,3;17,23;;0;-55,1;100;209141,73;88685,6;53,67;;0;61,9;100;52885,2;22425,7;13,66;;0;-62;100;53805,68;22816;13,92;;0;61,9;100;52751,61;22369,1;13,6;;0;7;100;388803,3;164870,2;100,05;;0;68,4;100;38312,81;16246,4;9,89
0;58,6;100;82526,75;34995,1;21,63;;0;-53,9;100;256994,15;108977,1;65,99;;0;61;100;57278,76;24288,8;14,83;;0;-61;100;58961,24;25002,2;15,29;;0;61;100;57246,88;24275,3;14,77;;0;17;100;389336,01;165096,1;100,2;;0;67,9;100;39312,71;16670,4;10,09
0;57,4;100;112950,4;47896,1;29,51;;0;-52,7;100;301470,68;127837,2;76,98;;0;59,9;100;64391,48;27304,9;16,71;;0;-59,9;100;67145,68;28472,8;17,49;;0;60;100;63906,41;27099,2;16,55;;0;27;100;386106,68;163726,7;99,42;;0;67,5;100;39858,9;16902;10,29
0;56,1;100;157192,54;66656,7;40,76;;0;-51,5;100;332695,58;141078;85,06;;0;58,9;100;75999,71;32227,3;19,75;;0;-59;100;81091,26;34386,4;21,16;;0;58,9;100;75623,41;32067,7;19,72;;0;33;100;382911,02;162371,6;98,53;;0;67;100;40829,67;17313,6;10,48
0;54,9;100;205037,4;86945,1;53,05;;0;-50,2;100;350033,51;148430;90,09;;0;57,9;100;93760,88;39758,9;24,55;;0;-58;100;105100,6;44567,4;27,4;;0;57,9;100;96037,73;40724,3;24,96;;0;38;100;379165,16;160783,2;97,54;;0;66,5;100;41371,91;17543,6;10,67
0;53,8;100;252775,31;107188,2;65,35;;0;-49;100;360456,61;152849,9;92,41;;0;56,9;100;125926,53;53398,5;32,61;;0;-56,9;100;139914,68;59330,1;36,29;;0;57;100;123493,32;52366,8;31,95;;0;42,9;100;374283,86;158713,3;96,24;;0;65,9;100;42322,34;17946,6;10,88
0;52,6;100;298382,87;126527,8;76,83;;0;-47,8;100;364235,09;154452,1;93,74;;0;55,9;100;164005,36;69545,7;42,36;;0;-56;100;177834,07;75409,7;45,94;;0;56;100;163268,17;69233,1;41,95;;0;48;100;363265,27;154040,9;93,12;;0;65,4;100;43308,47;18364,8;11,14
0;51,4;100;330235,88;140034,9;85,14;;0;-46,6;100;369056,39;156496,6;94,75;;0;54,9;100;203620,27;86344,2;52,55;;0;-55;100;218660,36;92721,9;56,32;;0;55;100;202502,1;85870;52,19;;0;53;100;281124,39;119209,5;71,83;;0;64,9;100;44220,97;18751,7;11,38
0;50,1;100;348970,33;147979,2;90,09;;0;-45,3;100;372161,2;157813,2;95,52;;0;53,9;100;244835,37;103821,3;63,07;;0;-53,9;100;260729,53;110561,1;67,28;;0;53,9;100;244547,43;103699,2;62,79;;0;58;100;92566,19;39252,2;24,57;;0;64,5;100;45203,31;19168,2;11,65
0;48,9;100;358065,94;151836,1;92,53;;0;-44,1;100;373831,28;158521,4;95,77;;0;52,9;100;284231,89;120527,2;73,26;;0;-53;100;296771,41;125844,5;76,33;;0;52,9;100;284634,87;120698,1;73,21;;0;63,1;100;49163,89;20847,7;12,83;;0;64;100;46486,35;19712,3;11,95
0;47,7;100;363785,26;154261,4;94;;0;-42,9;100;374198,93;158677,3;96,22;;0;51,9;100;317017,61;134429,8;81,55;;0;-51,9;100;327915,89;139051,2;84,39;;0;52;100;316098,39;134040;81,03;;0;68;100;39112,49;16585,5;10,09;;0;63,4;100;47825,97;20280,4;12,33
0;46,5;100;366813,79;155545,6;94,92;;0;-41,7;100;376084,49;159476,8;96,58;;0;51;100;337492,24;143112;86,76;;0;-50,9;100;346081,52;146754,2;89,05;;0;51;100;339442,59;143939;87,03;;0;73;100;33074,16;14024,9;8,51;;0;62,9;100;49100,48;20820,8;12,65
0;45,3;100;368920,33;156438,9;95,56;;0;-40,5;100;377290,87;159988,4;97,01;;0;49,9;100;351179,2;148915,9;90,44;;0;-49,9;100;355762,3;150859,3;91,78;;0;49,9;100;351572,16;149082,5;90,39;;0;75;100;31043,03;13163,6;7,98;;0;62,4;100;50899,63;21583,7;13,09
0;44,1;100;371380,58;157482,2;96,11;;0;-39,3;100;379231,59;160811,3;97,26;;0;49;100;358368,27;151964,4;92,38;;0;-49;100;361520,44;153301;93,29;;0;48,9;100;358840,88;152164,8;92,28;;;;;;;;;0;61,9;100;52861,8;22415,8;13,64
