Measurement time:; 04/09/2023 16:06:53;;;;;;Measurement time:; 04/09/2023 16:07:26;;;;
Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;
Energy:; 6 MV ;;;;;;Energy:; 6 MV ;;;;
Controller:; CCU;;;;;;Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;
Field size:; 100 x 100 mm;;;;;;Field size:; 100 x 100 mm;;;;
Gantry angle:;0;;;;;;Gantry angle:;0;;;;
Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;
Scan type:; Inline;;;;;;Scan type:; Inline;;;;
Scan mode:; Continuous;;;;;;Scan mode:; Continuous;;;;
Wedge:; none;;;;;;Wedge:; none;;;;
;;;Inline X6 20cm;;;;;;;Inline X6 3cm;;
Points [mm]:;;;;;;;Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio 1;;Inline; Crossline; Depth; Normalized field; Current field; Ratio
-9,7;0;200;72,08;94536,7;99,96;;9,7;0;30;179,02;234795,4;100,18
-8,5;0;200;71,95;94363,3;100,1;;8,5;0;30;178,49;234098,7;100,16
-7,3;0;200;72,09;94550,1;100,1;;7,3;0;30;178,64;234304,8;100,01
-6;0;200;71,98;94410,5;100,07;;6,1;0;30;178,59;234237,4;99,95
-4,8;0;200;72,08;94543,7;100,19;;4,9;0;30;178,7;234385,3;100,17
-3,6;0;200;71,79;94162,6;99,91;;3,6;0;30;178,92;234674,2;100,19
-2,4;0;200;72,05;94494,5;100,07;;2,4;0;30;178,5;234115,3;100,11
-1,3;0;200;71,62;93933,6;99,68;;1,2;0;30;179,29;235156,5;100,27
0;0;200;71,93;94344,8;99,97;;0;0;30;178,98;234747,7;100,03
1,1;0;200;71,73;94073,9;100,03;;-1,2;0;30;178,61;234268,4;100
2,4;0;200;71,82;94202,7;99,9;;-2,4;0;30;179,19;235021,7;100,23
3,6;0;200;71,78;94144,9;99,92;;-3,6;0;30;178,88;234616,3;100,32
4,8;0;200;71,89;94286,4;100,04;;-4,8;0;30;179,1;234902,6;100,31
6;0;200;71,8;94166,2;99,82;;-6;0;30;179,01;234791,4;100,34
7,2;0;200;72,03;94477,8;100,07;;-7,2;0;30;178,83;234550,7;100,25
8,5;0;200;71,65;93972,6;99,9;;-8,5;0;30;179,08;234881,4;100,43
9,7;0;200;71,9;94303,2;100,04;;-9,7;0;30;179,69;235677,9;100,6
10,9;0;200;71,72;94061,6;99,83;;-10,9;0;30;179,48;235399,9;100,58
12,1;0;200;71,8;94174,9;99,87;;-12,1;0;30;179,79;235804,4;100,65
13,3;0;200;71,75;94104,8;99,69;;-13,3;0;30;180,26;236426,7;100,62
14,5;0;200;71,6;93912,8;99,68;;-14,5;0;30;180,05;236150,9;100,8
15,7;0;200;71,6;93908,9;99,73;;-15,7;0;30;180,07;236178,5;100,91
16,9;0;200;71,72;94065,5;99,69;;-16,9;0;30;180,41;236618,8;100,94
18,1;0;200;71,6;93908,9;99,67;;-18,1;0;30;180,31;236488,4;100,96
19,3;0;200;71,7;94040,2;99,69;;-19,3;0;30;180,74;237050,1;101,22
20,5;0;200;71,38;93617,2;99,38;;-20,5;0;30;180,86;237217,3;101,06
21,7;0;200;71,28;93488,7;99,11;;-21,7;0;30;180,98;237365,9;101,16
22,9;0;200;71,27;93482,3;99,08;;-22,9;0;30;180,58;236839,8;101,13
24,1;0;200;71,12;93277,8;99;;-24,1;0;30;180,59;236854,8;100,94
25,3;0;200;71,22;93409,5;99,01;;-25,3;0;30;180,6;236865,8;101
26,5;0;200;70,77;92819,1;98,66;;-26,5;0;30;180,3;236484,3;100,87
