;;;Inline 10;;;;;;;Crossline 10;;;;;;;Rendement 10;;;;;;;Inline 3;;;;;;;Crossline 3;;;;;;;Rendement 3;;
Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio
69,5;0;100;12612,12;17158,6;10,5;;0;-70;100;11464,61;15597,5;9,52;;0;0;299,9;40076,25;54523,3;21,94;;70;0;100;1295,23;1762,2;1,31;;0;-70;100;1175,12;1598,7;1,19;;0;0;300;29229,7;39766,7;17,66
68,3;0;100;13049,11;17753,2;10,85;;0;-68,8;100;12124,28;16494,9;10,06;;0;0;298,7;40170,93;54652,1;22,03;;68,8;0;100;1217,21;1656;1,24;;0;-68,8;100;1164,88;1584,8;1,18;;0;0;298,8;29454,56;40072,6;17,81
67,1;0;100;13607,33;18512,6;11,32;;0;-67,5;100;12636,2;17191,4;10,47;;0;0;297,5;40618,05;55260,4;22,23;;67,6;0;100;1288,31;1752,7;1,31;;0;-67,5;100;1252,8;1704,4;1,27;;0;0;297,6;29839,53;40596,3;18,01
65,9;0;100;14189,24;19304,3;11,83;;0;-66,3;100;13350,88;18163,7;11,09;;0;0;296,3;40585,59;55216,2;22,24;;66,4;0;100;1356,52;1845,5;1,38;;0;-66,4;100;1267,13;1723,9;1,29;;0;0;296,4;29936,16;40727,8;18,1
64,7;0;100;15063,5;20493,7;12,55;;0;-65,1;100;14104;19188,3;11,71;;0;0;295,1;40961,11;55727,1;22,41;;65,2;0;100;1335,31;1816,7;1,36;;0;-65,2;100;1162,67;1581,8;1,17;;0;0;295,2;30193;41077,2;18,24
63,5;0;100;15971,54;21729,1;13,32;;0;-63,9;100;15146,62;20606,8;12,54;;0;0;293,9;40985,63;55760,5;22,51;;64;0;100;1402,65;1908,3;1,42;;0;-64;100;1314,7;1788,6;1,33;;0;0;293,9;30453,96;41432,2;18,38
62,3;0;100;17514,14;23827,8;14,57;;0;-62,7;100;16276,5;22144;13,55;;0;0;292,7;41465,97;56414;22,71;;62,8;0;100;1449,58;1972,1;1,47;;0;-62,8;100;1353,55;1841,5;1,37;;0;0;292,8;30615,36;41651,8;18,51
61;0;100;19827,98;26975,7;16,49;;0;-61,5;100;18062,6;24573,9;14,97;;0;0;291,5;41644,41;56656,7;22,85;;61,6;0;100;1514,41;2060,3;1,54;;0;-61,5;100;1320,41;1796,4;1,34;;0;0;291,6;30838,13;41954,9;18,66
59,8;0;100;23764,41;32331,2;19,8;;0;-60,3;100;20847,44;28362,7;17,32;;0;0;290,3;42105,79;57284,4;23,06;;60,4;0;100;1556,87;2118,1;1,57;;0;-60,3;100;1397,06;1900,7;1,41;;0;0;290,4;31069,89;42270,2;18,83
58,6;0;100;31240,06;42501,7;25,95;;0;-59,1;100;26546,2;36115,8;22;;0;0;289;42333,29;57593,9;23,22;;59,1;0;100;1600,28;2177,2;1,62;;0;-59,1;100;1419,24;1930,9;1,43;;0;0;289,1;31406,6;42728,3;18,97
57,4;0;100;42202,51;57416;35,14;;0;-57,8;100;36391,53;49510,2;30,22;;0;0;287,8;42660,04;58038,5;23,43;;58;0;100;1583,44;2154,3;1,61;;0;-57,8;100;1413,38;1922,9;1,43;;0;0;287,9;31628,67;43030,4;19,14
56,2;0;100;56171,75;76421;46,71;;0;-56,7;100;49871,56;67849,7;41,41;;0;0;286,6;42760,26;58174,8;23,49;;56,7;0;100;1763,49;2399,2;1,8;;0;-56,7;100;1574,94;2142,7;1,59;;0;0;286,7;31680,03;43100,3;19,2
55;0;100;70683,5;96164,1;58,82;;0;-55,5;100;65004,33;88437,6;53,95;;0;0;285,4;43074,05;58601,7;23,58;;55,5;0;100;1779,06;2420,4;1,81;;0;-55,5;100;1587,88;2160,3;1,61;;0;0;285,5;32009,89;43549,1;19,34
53,8;0;100;84043,92;114340,7;69,97;;0;-54,2;100;80180,01;109083,9;66,58;;0;0;284,2;43223,77;58805,4;23,69;;54,3;0;100;1730,79;2354,7;1,76;;0;-54,2;100;1625,33;2211,2;1,64;;0;0;284,3;32099,95;43671,6;19,47
52,5;0;100;94806,04;128982,5;79;;0;-53,1;100;93958,82;127829,8;77,99;;0;0;283;43776,83;59557,8;24,01;;53,1;0;100;1928,48;2623,7;1,95;;0;-53,1;100;1710,64;2327,3;1,72;;0;0;283,1;32452,46;44151,2;19,66
51,4;0;100;102653,48;139658,8;85,25;;0;-51,8;100;104321,67;141928,4;86,62;;0;0;281,8;44016,08;59883,3;24,14;;51,9;0;100;1892,75;2575,1;1,91;;0;-51,9;100;1692,4;2302,5;1,71;;0;0;281,9;32541,6;44272,5;19,71
50,1;0;100;107617,5;146412,3;89,64;;0;-50,5;100;109295,86;148695,7;90,71;;0;0;280,6;44340,77;60325,1;24,34;;50,7;0;100;1918,86;2610,6;1,95;;0;-50,6;100;1722,94;2344;1,74;;0;0;280,7;32804,14;44629,6;19,83
49;0;100;110857,33;150820,1;92,2;;0;-49,4;100;111550,45;151763;92,68;;0;0;279,4;44661,3;60761,2;24,47;;49,5;0;100;1907,84;2595,6;1,94;;0;-49,4;100;1937,69;2636,2;1,96;;0;0;279,5;32809,08;44636,4;19,93
47,7;0;100;112592,43;153180,6;93,58;;0;-48,2;100;113084,92;153850,7;94,09;;0;0;278,2;44806,32;60958,5;24,55;;48,3;0;100;2073,84;2821,4;2,11;;0;-48,3;100;1837,91;2500,5;1,85;;0;0;278,3;33383,38;45417,7;20,2
46,5;0;100;113543,19;154474,1;94,41;;0;-47;100;114552,48;155847,3;95,03;;0;0;277;45164,09;61445,2;24,79;;47;0;100;2171,62;2954,5;2,2;;0;-47;100;2040,51;2776,1;2,06;;0;0;277,1;33429,66;45480,6;20,3
45,3;0;100;114130,45;155273,1;95,04;;0;-45,8;100;115147,71;156657,1;95,62;;0;0;275,8;45502,13;61905,1;24,94;;45,9;0;100;2278,08;3099,3;2,3;;0;-45,8;100;2015,68;2742,3;2,04;;0;0;275,9;33818,47;46009,6;20,46
44,1;0;100;114763,84;156134,8;95,4;;0;-44,6;100;115905,55;157688,1;96,31;;0;0;274,6;45672,05;62136,3;25,03;;44,6;0;100;2286,58;3110,9;2,32;;0;-44,6;100;2106,22;2865,5;2,13;;0;0;274,6;33974,41;46221,8;20,55
42,9;0;100;115163,48;156678,5;95,81;;0;-43,3;100;116186,3;158070,1;96,39;;0;0;273,4;46044,02;62642,3;25,24;;43,5;0;100;2566,12;3491,2;2,59;;0;-43,4;100;2201,24;2994,8;2,23;;0;0;273,4;34189,79;46514,8;20,66
41,7;0;100;115524,42;157169,6;96,23;;0;-42,1;100;116551,22;158566,5;96,95;;0;0;272,2;46243,95;62914,3;25,41;;42,3;0;100;2551,89;3471,8;2,59;;0;-42,2;100;2278,49;3099,9;2,31;;0;0;272,3;34569,06;47030,8;20,87
40,5;0;100;116036,21;157865,9;96,51;;0;-41;100;116972,51;159139,7;97,21;;0;0;271;46470,5;63222,6;25,47;;41;0;100;2701,57;3675,4;2,74;;0;-41;100;2387;3247,5;2,42;;0;0;271;34834,92;47392,5;21,01
39,3;0;100;116285,65;158205,2;96,86;;0;-39,7;100;117479,25;159829,1;97,69;;0;0;269,8;46785,09;63650,5;25,64;;39,8;0;100;2882,91;3922,2;2,92;;0;-39,8;100;2563,45;3487,5;2,59;;0;0;269,8;34875,14;47447,2;21,14
38;0;100;116521,66;158526,3;96,77;;0;-38,5;100;117702,02;160132,2;97,87;;0;0;268,5;47295,69;64345,2;25,9;;38,6;0;100;2873,35;3909,2;2,91;;0;-38,6;100;2685,25;3653,3;2,71;;0;0;268,6;35358,43;48104,7;21,37
36,9;0;100;117057,52;159255,4;97,4;;0;-37,3;100;118363,7;161032,4;98,07;;0;0;267,3;47605,71;64767;26,12;;37,4;0;100;3113,94;4236,5;3,16;;0;-37,3;100;2779,35;3781,3;2,81;;0;0;267,4;35483,74;48275,2;21,49
35,6;0;100;117304,01;159590,7;97,49;;0;-36,1;100;118461,17;161165;98,29;;0;0;266,1;47977,62;65273;26,25;;36,2;0;100;3351,57;4559,8;3,4;;0;-36,2;100;2966,25;4035,6;2,99;;0;0;266,2;35700,2;48569,7;21,62
