Measurement time:; 02/09/2022 20:57:24
Radiation device:; Clinac3 Accelerator
Energy:; 12 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Point
Scan mode:; Absolute
Wedge:; none
Position Inline:; -2,8421709430404E-14 mm
Position Crossline:; 2,8421709430404E-14 mm
Position Depth:; 13 mm
Dose:; 0,0000 Gy



Measurement time:; 02/09/2022 20:57:44
Radiation device:; Clinac3 Accelerator
Energy:; 12 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Point
Scan mode:; Absolute
Wedge:; none
Position Inline:; -0,0400085449219318 mm
Position Crossline:; 0,0199890136719318 mm
Position Depth:; 28,0766130249023 mm
Dose:; 0,0240 Gy



Measurement time:; 02/09/2022 20:58:48
Radiation device:; Clinac3 Accelerator
Energy:; 12 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Point
Scan mode:; Absolute
Wedge:; none
Position Inline:; -0,0301818847656818 mm
Position Crossline:; 0,0609130859375568 mm
Position Depth:; 28,066574230957 mm
Dose:; 0,5806 Gy



Measurement time:; 02/09/2022 21:00:33
Radiation device:; Clinac3 Accelerator
Energy:; 12 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-151,4; 0,0; 28,0; 2,00; 3947,6; 2,32
-150,7; 0,0; 28,0; 1,28; 2537,7; 1,29
-149,3; 0,0; 28,0; 1,28; 2536,5; 1,26
-148,2; 0,0; 28,0; 1,27; 2514,4; 1,32
-146,9; 0,0; 28,0; 1,26; 2490,6; 1,25
-145,7; 0,0; 28,0; 1,25; 2470,2; 1,26
-144,5; 0,0; 28,0; 1,24; 2452,9; 1,24
-143,3; 0,0; 28,0; 1,26; 2493,0; 1,27
-142,2; 0,0; 28,0; 1,23; 2435,5; 1,22
-140,9; 0,0; 28,0; 1,24; 2442,1; 1,22
-139,7; 0,0; 28,0; 1,23; 2433,4; 1,22
-138,5; 0,0; 28,0; 1,28; 2536,1; 1,27
-137,3; 0,0; 28,0; 1,24; 2447,5; 1,21
-136,1; 0,0; 28,0; 1,27; 2517,4; 1,27
-134,9; 0,0; 28,0; 1,26; 2491,4; 1,25
-133,7; 0,0; 28,0; 1,26; 2480,5; 1,23
-132,5; 0,0; 28,0; 1,28; 2520,3; 1,31
-131,3; 0,0; 28,0; 1,28; 2529,4; 1,27
-130,1; 0,0; 28,0; 1,29; 2542,6; 1,29
-128,9; 0,0; 28,0; 1,27; 2517,7; 1,27
-127,7; 0,0; 28,0; 1,32; 2604,5; 1,32
-126,5; 0,0; 28,0; 1,31; 2586,2; 1,31
-125,3; 0,0; 28,0; 1,30; 2568,5; 1,29
-124,1; 0,0; 28,0; 1,28; 2523,9; 1,27
-122,9; 0,0; 28,0; 1,31; 2593,2; 1,31
-121,7; 0,0; 28,0; 1,26; 2485,7; 1,22
-120,5; 0,0; 28,0; 1,30; 2559,6; 1,28
-119,3; 0,0; 28,0; 1,34; 2652,1; 1,40
-118,1; 0,0; 28,0; 1,32; 2600,3; 1,28
-116,9; 0,0; 28,0; 1,26; 2478,7; 1,26
-115,7; 0,0; 28,0; 1,30; 2560,9; 1,32
-114,5; 0,0; 28,0; 1,26; 2496,4; 1,24
-113,3; 0,0; 28,0; 1,29; 2553,5; 1,32
-112,1; 0,0; 28,0; 1,24; 2455,0; 1,24
-110,9; 0,0; 28,0; 1,26; 2481,5; 1,25
-109,7; 0,0; 28,0; 1,25; 2466,0; 1,26
-108,5; 0,0; 28,0; 1,27; 2511,7; 1,29
-107,3; 0,0; 28,0; 1,23; 2426,8; 1,22
-106,1; 0,0; 28,0; 1,26; 2489,6; 1,27
-104,9; 0,0; 28,0; 1,24; 2449,3; 1,24
-103,7; 0,0; 28,0; 1,17; 2312,1; 1,16
-102,5; 0,0; 28,0; 1,22; 2402,6; 1,23
-101,3; 0,0; 28,0; 1,18; 2333,9; 1,18
-100,1; 0,0; 28,0; 1,17; 2315,9; 1,16
-98,9; 0,0; 28,0; 1,12; 2217,6; 1,13
-97,7; 0,0; 28,0; 1,10; 2169,9; 1,07
-96,5; 0,0; 28,0; 1,11; 2190,4; 1,08
-95,3; 0,0; 28,0; 1,10; 2166,4; 1,10
-94,1; 0,0; 28,0; 1,05; 2069,9; 1,04
-92,9; 0,0; 28,0; 1,03; 2040,0; 1,02
-91,6; 0,0; 28,0; 0,98; 1936,0; 0,99
-90,5; 0,0; 28,0; 0,90; 1783,4; 0,91
-89,3; 0,0; 28,0; 0,80; 1572,1; 0,78
-88,0; 0,0; 28,0; 0,74; 1463,2; 0,74
-86,9; 0,0; 28,0; 0,69; 1357,1; 0,69
-85,6; 0,0; 28,0; 0,47; 925,3; 0,45
-84,5; 0,0; 28,0; 0,44; 874,9; 0,45
-83,2; 0,0; 28,0; 0,32; 639,8; 0,32
-82,0; 0,0; 28,0; 0,20; 395,4; 0,20
-80,8; 0,0; 28,0; 0,03; 63,6; 0,03
-79,6; 0,0; 28,0; 0,20; 387,0; 0,19
-78,4; 0,0; 28,0; 0,46; 901,6; 0,44
-77,2; 0,0; 28,0; 0,62; 1217,3; 0,62
-76,0; 0,0; 28,0; 0,83; 1639,2; 0,86
-74,8; 0,0; 28,0; 1,47; 2893,6; 1,39
-73,6; 0,0; 28,0; 1,62; 3190,9; 1,67
-72,4; 0,0; 28,0; 2,28; 4494,1; 2,24
-71,2; 0,0; 28,0; 2,80; 5523,5; 2,78
-70,0; 0,0; 28,0; 3,38; 6676,6; 3,45
-68,8; 0,0; 28,0; 4,39; 8669,3; 4,31
-67,6; 0,0; 28,0; 5,79; 11440,4; 5,45
-66,4; 0,0; 28,0; 6,29; 12419,3; 6,45
-65,2; 0,0; 28,0; 8,04; 15887,7; 8,00
-64,0; 0,0; 28,0; 10,24; 20222,7; 9,88
-62,8; 0,0; 28,0; 11,93; 23571,9; 11,99
-61,6; 0,0; 28,0; 14,70; 29025,1; 14,78
-60,4; 0,0; 28,0; 17,96; 35474,8; 17,96
-59,2; 0,0; 28,0; 22,02; 43497,3; 22,02
-58,0; 0,0; 28,0; 25,09; 49547,4; 26,32
-56,8; 0,0; 28,0; 32,93; 65035,8; 31,68
-55,6; 0,0; 28,0; 35,98; 71071,3; 37,60
-54,4; 0,0; 28,0; 44,20; 87294,8; 44,00
-53,2; 0,0; 28,0; 53,74; 106141,9; 51,05
-52,0; 0,0; 28,0; 55,70; 110011,8; 57,45
-50,8; 0,0; 28,0; 61,67; 121810,0; 63,66
-49,6; 0,0; 28,0; 73,57; 145308,9; 69,86
-48,4; 0,0; 28,0; 71,95; 142108,4; 74,64
-47,2; 0,0; 28,0; 79,56; 157131,4; 79,31
-46,0; 0,0; 28,0; 87,10; 172030,6; 83,52
-44,8; 0,0; 28,0; 82,44; 162832,8; 85,97
-43,6; 0,0; 28,0; 88,76; 175306,8; 88,60
-42,4; 0,0; 28,0; 95,22; 188069,7; 90,97
-41,2; 0,0; 28,0; 89,67; 177110,0; 92,03
-39,9; 0,0; 28,0; 94,10; 185864,6; 93,44
-38,8; 0,0; 28,0; 99,84; 197193,2; 94,71
-37,6; 0,0; 28,0; 93,17; 184016,8; 95,24
-36,3; 0,0; 28,0; 97,72; 192999,5; 96,20
-35,2; 0,0; 28,0; 97,06; 191705,7; 96,70
-33,9; 0,0; 28,0; 95,26; 188151,2; 97,06
-32,7; 0,0; 28,0; 97,23; 192033,1; 97,41
-31,5; 0,0; 28,0; 100,25; 197998,1; 97,90
-30,3; 0,0; 28,0; 97,12; 191826,3; 98,01
-29,1; 0,0; 28,0; 96,49; 190583,3; 98,23
-27,9; 0,0; 28,0; 102,42; 202284,4; 98,70
-26,7; 0,0; 28,0; 96,81; 191216,5; 98,82
-25,5; 0,0; 28,0; 99,75; 197015,7; 98,96
-24,3; 0,0; 28,0; 102,78; 203006,0; 99,29
-23,1; 0,0; 28,0; 97,72; 193010,7; 99,31
-21,9; 0,0; 28,0; 96,86; 191307,4; 99,30
-20,7; 0,0; 28,0; 102,83; 203108,3; 99,55
-19,5; 0,0; 28,0; 95,38; 188390,8; 99,37
-18,3; 0,0; 28,0; 101,47; 200405,3; 99,65
-17,1; 0,0; 28,0; 98,16; 193869,4; 99,72
-15,9; 0,0; 28,0; 98,06; 193667,6; 99,54
-14,7; 0,0; 28,0; 101,41; 200300,5; 99,77
-13,5; 0,0; 28,0; 102,57; 202594,6; 99,97
-12,3; 0,0; 28,0; 96,45; 190497,8; 99,63
-11,1; 0,0; 28,0; 100,22; 197950,7; 99,70
-9,9; 0,0; 28,0; 103,24; 203916,1; 100,20
-8,7; 0,0; 28,0; 100,04; 197593,0; 100,20
-7,5; 0,0; 28,0; 100,10; 197715,6; 99,99
-6,3; 0,0; 28,0; 101,80; 201070,4; 100,27
-5,1; 0,0; 28,0; 99,59; 196704,3; 100,11
-3,9; 0,0; 28,0; 100,51; 198520,3; 100,08
-2,7; 0,0; 28,0; 102,38; 202203,6; 100,19
-1,5; 0,0; 28,0; 100,22; 197943,8; 100,07
-0,3; 0,0; 28,0; 102,32; 202100,1; 100,30
0,9; 0,0; 28,0; 97,65; 192873,9; 100,08
2,2; 0,0; 28,0; 101,23; 199933,7; 100,33
3,3; 0,0; 28,0; 96,98; 191540,0; 100,02
4,5; 0,0; 28,0; 101,31; 200095,1; 100,19
5,7; 0,0; 28,0; 99,66; 196828,8; 100,14
6,9; 0,0; 28,0; 99,71; 196930,3; 100,07
8,2; 0,0; 28,0; 100,54; 198574,4; 100,17
9,3; 0,0; 28,0; 100,47; 198444,7; 100,02
10,5; 0,0; 28,0; 101,37; 200206,3; 100,12
11,7; 0,0; 28,0; 101,67; 200801,7; 100,01
12,9; 0,0; 28,0; 96,79; 191170,7; 99,66
14,2; 0,0; 28,0; 101,15; 199787,1; 99,73
15,3; 0,0; 28,0; 101,58; 200635,0; 99,97
16,6; 0,0; 28,0; 101,20; 199881,2; 99,46
17,7; 0,0; 28,0; 94,99; 187621,4; 99,22
19,0; 0,0; 28,0; 99,90; 197302,3; 99,76
20,2; 0,0; 28,0; 98,13; 193812,1; 99,44
21,3; 0,0; 28,0; 97,21; 192007,4; 99,20
22,6; 0,0; 28,0; 101,92; 201302,1; 99,29
23,8; 0,0; 28,0; 97,53; 192635,1; 98,97
25,0; 0,0; 28,0; 98,63; 194812,0; 98,97
26,2; 0,0; 28,0; 100,32; 198131,4; 98,66
27,4; 0,0; 28,0; 98,83; 195196,3; 98,35
28,6; 0,0; 28,0; 99,28; 196077,4; 98,08
29,8; 0,0; 28,0; 99,00; 195537,3; 97,57
31,0; 0,0; 28,0; 94,70; 187037,2; 97,28
32,2; 0,0; 28,0; 97,82; 193204,4; 96,90
33,4; 0,0; 28,0; 97,37; 192309,0; 96,23
34,6; 0,0; 28,0; 95,85; 189318,8; 95,52
35,8; 0,0; 28,0; 94,79; 187220,6; 94,50
37,0; 0,0; 28,0; 93,63; 184937,4; 93,56
38,2; 0,0; 28,0; 92,07; 181843,6; 92,34
39,4; 0,0; 28,0; 90,74; 179218,9; 90,84
