Measurement time:; 02/09/2022 18:30:36;;;;
Radiation device:; Clinac3 Accelerator;;;;
Energy:; 6 MeV ;;;;
Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;
Field size:; 100 x 100 mm;;;;
Gantry angle:;0;;;;
Measurement medium:; Water;;;;
Scan type:; Beam;;;;
Scan mode:; Continuous;;;;
Wedge:; none;;;;
;;;;;
Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;0;143,9;0,19;369,5;0,19
0;0;142,7;0,18;352,4;0,18
0;0;141,5;0,17;330,1;0,17
0;0;140,3;0,17;328,4;0,17
0;0;139,1;0,18;360;0,18
0;0;137,9;0,2;383,2;0,2
0;0;136,6;0,23;440;0,23
0;0;135,4;0,21;410,7;0,21
0;0;134,2;0,19;374,9;0,19
0;0;133,1;0,21;411,6;0,22
0;0;131,9;0,23;442,6;0,22
0;0;130,6;0,23;443,3;0,23
0;0;129,5;0,22;431,4;0,23
0;0;128,2;0,21;409,2;0,21
0;0;127;0,24;461,8;0,24
0;0;125,8;0,2;394;0,21
0;0;124,7;0,26;515,4;0,26
0;0;123,4;0,2;392,8;0,21
0;0;122,2;0,23;446,2;0,23
0;0;121;0,28;544,9;0,27
0;0;119,8;0,25;491,2;0,26
0;0;118,6;0,26;510,7;0,27
0;0;117,4;0,27;536;0,27
0;0;116,2;0,25;483,4;0,25
0;0;115;0,23;440,2;0,23
0;0;113,8;0,25;493;0,25
0;0;112,6;0,26;505,3;0,27
0;0;111,4;0,27;527,8;0,28
0;0;110,2;0,26;507,7;0,26
0;0;109;0,28;549;0,29
0;0;107,8;0,26;505,9;0,26
0;0;106,6;0,23;446,5;0,24
0;0;105,4;0,25;484,2;0,25
0;0;104,2;0,24;472,8;0,25
0;0;103;0,27;535,4;0,27
0;0;101,8;0,27;521,9;0,28
0;0;100,6;0,27;530,6;0,28
0;0;99,4;0,3;580,8;0,29
0;0;98,2;0,26;510,1;0,27
0;0;97;0,27;521,3;0,28
0;0;95,8;0,31;598,8;0,31
0;0;94,6;0,28;551,7;0,29
0;0;93,4;0,3;585;0,31
0;0;92,2;0,31;603,3;0,31
0;0;91;0,3;588,7;0,31
0;0;89,8;0,27;536,2;0,28
0;0;88,6;0,34;656,9;0,34
0;0;87,4;0,33;636,3;0,34
0;0;86,2;0,3;593;0,31
0;0;85;0,31;605,9;0,32
0;0;83,8;0,33;647,9;0,34
0;0;82,6;0,3;595,2;0,31
0;0;81,3;0,32;616,7;0,32
0;0;80,1;0,37;720,3;0,38
0;0;78,9;0,37;715,4;0,37
0;0;77,7;0,35;685,1;0,36
0;0;76,5;0,36;696,2;0,37
0;0;75,3;0,33;650,1;0,34
0;0;74,1;0,36;708,8;0,37
0;0;72,9;0,38;740,1;0,39
0;0;71,7;0,42;816,6;0,42
0;0;70,5;0,36;705,5;0,37
0;0;69,3;0,38;751;0,4
0;0;68,1;0,39;763,9;0,39
0;0;66,9;0,37;718,3;0,38
0;0;65,7;0,39;766,3;0,41
0;0;64,5;0,45;877,7;0,45
0;0;63,3;0,36;698,3;0,37
0;0;62,1;0,4;789,1;0,42
0;0;60,9;0,49;954,6;0,49
0;0;59,6;0,41;800,2;0,42
0;0;58,5;0,41;806,8;0,43
0;0;57,2;0,47;913,4;0,47
0;0;56;0,45;883;0,47
0;0;54,8;0,44;861,3;0,46
0;0;53,6;0,43;842,7;0,44
0;0;52,4;0,43;844,2;0,45
0;0;51,2;0,42;824,5;0,44
0;0;50;0,46;898,6;0,46
0;0;48,8;0,46;899,5;0,48
0;0;47,6;0,45;874,5;0,47
0;0;46,4;0,46;903,8;0,47
0;0;45,2;0,47;923,2;0,49
0;0;44;0,48;948;0,51
0;0;42,8;0,54;1054,4;0,54
0;0;41,5;0,52;1015,8;0,54
0;0;40,3;0,48;935,4;0,5
0;0;39,1;0,5;975,6;0,5
0;0;37,9;0,49;948,7;0,51
0;0;36,7;0,53;1037,2;0,56
0;0;35,5;0,56;1098,5;0,56
0;0;34,3;0,75;1466;0,79
0;0;33,1;1,17;2293,7;1,22
0;0;31,9;2,29;4471,7;2,34
0;0;30,7;4,29;8389,9;4,48
0;0;29,5;7,71;15080,2;7,99
0;0;28,3;12,94;25311,5;13,26
0;0;27,1;19,23;37607,3;20,12
0;0;25,9;27,49;53760,6;28,21
0;0;24,7;37,29;72930,4;38,14
0;0;23,5;45,4;88787,8;47,57
0;0;22,3;57,21;111880,5;57,88
0;0;21,1;65,64;128352,9;67,47
0;0;19,8;75,43;147513,2;76,08
0;0;18,6;81,52;159421,2;83,67
0;0;17,4;88,34;172743,7;90,09
0;0;16,2;95,67;187090;94,64
0;0;15;96,05;187823,8;97,82
0;0;13,8;99,33;194246,2;99,77
0;0;12,6;98,98;193556,1;100
0;0;11,4;101,93;199328,4;99,28
0;0;10,2;98,45;192514,2;97,27
0;0;9;95,33;186421,5;94,85
0;0;7,8;95,96;187657,3;92,19
0;0;6,6;91,42;178777;89,1
0;0;5,4;87,3;170717;86,1
0;0;4,2;87,76;171628,2;83,12
0;0;3;83,46;163217,8;80,24
0;0;1,8;79,64;155748,2;77,75
0;0;0,5;80,04;156518,6;75,79
0;0;-0,5;78,6;153711,4;74,64
;;;;;
