Measurement time:; 02/08/2022 19:59:54;;;;
Radiation device:; Novalis TB Accelerator;;;;
Energy:; 6 MV ;;;;
Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;
Field size:; 100 x 100 mm;;;;
Gantry angle:;0;;;;
Measurement medium:; Water;;;;
Scan type:; Beam;;;;
Scan mode:; Continuous;;;;
Wedge:; none;;;;
;;;;;
Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;0;258,4;61,28;88966,2;35,34
0;0;257,2;61,48;89249;35,49
0;0;256;61,85;89798,3;35,69
0;0;254,8;62,21;90320,2;35,9
0;0;253,6;62,6;90888;36,06
0;0;252,4;62,86;91255,7;36,26
0;0;251,2;63,3;91902;36,46
0;0;250;63,74;92542,2;36,73
0;0;248,7;63,9;92775,8;36,89
0;0;247,5;64,32;93379,8;37,05
0;0;246,3;64,67;93888,3;37,27
0;0;245,1;64,98;94335,6;37,42
0;0;243,9;65,36;94890,9;37,65
0;0;242,7;65,83;95574,8;37,92
0;0;241,5;66,09;95955;38,23
0;0;240,3;66,32;96275,3;38,25
0;0;239,1;66,91;97143,9;38,6
0;0;237,9;67,19;97538,9;38,78
0;0;236,7;67,65;98217,7;38,94
0;0;235,5;68,04;98781,3;39,22
0;0;234,3;68,41;99319,7;39,41
0;0;233,1;68,88;99995;39,69
0;0;231,9;69,09;100310,9;39,79
0;0;230,7;69,52;100924,2;40
0;0;229,5;69,91;101501;40,35
0;0;228,3;70,32;102094,3;40,46
0;0;227,1;70,63;102538,7;40,69
0;0;225,9;71,23;103410,2;41,05
0;0;224,6;71,69;104083,2;41,29
0;0;223,4;71,84;104300,4;41,38
0;0;222,2;72,3;104966,5;41,64
0;0;221;72,61;105416,1;41,85
0;0;219,8;73,19;106260,6;42,14
0;0;218,6;73,45;106640,2;42,38
0;0;217,4;74,04;107495,2;42,65
0;0;216,2;74,34;107932;42,83
0;0;215;74,84;108649,1;43,09
0;0;213,8;75,24;109227,3;43,44
0;0;212,6;75,59;109734,3;43,6
0;0;211,4;76,13;110517,5;43,93
0;0;210,2;76,45;110984;44,03
0;0;209;76,98;111753,8;44,34
0;0;207,8;77,34;112280,7;44,54
0;0;206,6;77,81;112962,9;44,85
0;0;205,4;78,16;113468,3;45,1
0;0;204,2;78,61;114130,8;45,3
0;0;203;79,11;114848,4;45,67
0;0;201,8;79,45;115344,1;45,87
0;0;200,6;80,06;116234,6;46,15
0;0;199,4;80,45;116791,4;46,34
0;0;198,1;80,91;117459,3;46,61
0;0;197;81,38;118152,5;46,92
0;0;195,7;81,86;118837,7;47,09
0;0;194,6;82,38;119597,5;47,44
0;0;193,4;82,65;119986,9;47,59
0;0;192,1;83,29;120923,2;48
0;0;191;83,58;121340,6;48,18
0;0;189,7;83,97;121909,8;48,42
0;0;188,5;84,53;122719;48,76
0;0;187,3;85,16;123639,6;49,04
0;0;186,1;85,45;124060,2;49,29
0;0;184,9;86,13;125039,1;49,7
0;0;183,7;86,59;125709,2;49,8
0;0;182,5;87,07;126404,3;50,21
0;0;181,3;87,43;126936,7;50,4
0;0;180,1;88,01;127772,5;50,65
0;0;178,9;88,54;128540,3;51,09
0;0;177,7;89,01;129221,2;51,32
0;0;176,5;89,37;129740,7;51,58
0;0;175,3;89,94;130568,3;51,85
0;0;174,1;90,38;131212,8;52,1
0;0;172,9;90,98;132085,8;52,44
0;0;171,7;91,56;132926;52,71
0;0;170,5;92,11;133716,8;53,17
0;0;169,3;92,46;134227,2;53,29
0;0;168,1;93,12;135196,4;53,65
0;0;166,9;93,52;135772,3;53,91
0;0;165,6;94,18;136736,4;54,29
0;0;164,5;94,74;137539,1;54,63
0;0;163,2;95,1;138071,5;54,72
0;0;162;95,69;138918,2;55,14
0;0;160,8;96,26;139754,2;55,52
0;0;159,6;96,77;140495,6;55,73
0;0;158,4;97,32;141292,7;56,12
0;0;157,2;97,92;142157,9;56,44
0;0;156;98,32;142741,7;56,62
0;0;154,8;98,9;143580,5;57,04
0;0;153,6;99,6;144600,4;57,4
0;0;152,4;99,93;145082,4;57,55
0;0;151,2;100,59;146030,6;57,85
0;0;150;101,17;146880,3;58,32
0;0;148,8;101,77;147751,5;58,63
0;0;147,6;102,3;148513,3;59,02
0;0;146,4;102,77;149206,9;59,23
0;0;145,2;103,42;150147,6;59,53
0;0;144;104,11;151142,6;59,95
0;0;142,8;104,57;151817,7;60,17
0;0;141,6;105,27;152834,2;60,65
0;0;140,4;105,8;153598,7;60,96
0;0;139,2;106,52;154638,3;61,35
0;0;138;107,09;155465;61,63
0;0;136,8;107,49;156049;61,99
0;0;135,5;108,3;157222,9;62,43
0;0;134,4;108,73;157851,7;62,78
0;0;133,1;109,41;158841,6;63,17
0;0;131,9;110,06;159787,1;63,48
0;0;130,7;110,61;160589,2;63,68
0;0;129,5;111,36;161670,9;64,17
0;0;128,3;111,87;162418,1;64,59
0;0;127,1;112,61;163486,9;64,86
0;0;125,9;113,11;164216,1;65,18
0;0;124,7;113,71;165089,5;65,65
0;0;123,5;114,36;166027,1;65,89
0;0;122,3;115,12;167133,2;66,27
0;0;121,1;115,68;167947,5;66,64
0;0;119,9;116,26;168790,1;66,97
0;0;118,7;117,01;169876,7;67,41
0;0;117,5;117,63;170775,5;67,7
0;0;116,3;118,27;171704,4;68,01
0;0;115,1;119,01;172779,6;68,47
0;0;113,9;119,59;173625,9;68,89
0;0;112,7;120,37;174755,2;69,22
0;0;111,4;120,87;175480,5;69,62
0;0;110,3;121,46;176332,6;69,96
0;0;109;122,1;177269;70,33
0;0;107,8;122,8;178273,4;70,88
0;0;106,7;123,54;179353,7;71,07
0;0;105,4;124,25;180385,6;71,6
0;0;104,3;125,04;181533,4;71,95
0;0;103;125,76;182576,7;72,47
0;0;101,8;126,23;183258,2;72,83
0;0;100,6;126,93;184278,3;73,3
0;0;99,4;127,51;185110,9;73,44
0;0;98,2;128,19;186100,5;73,81
0;0;97;129,17;187532;74,43
0;0;95,8;129,74;188351,4;74,83
0;0;94,6;130,35;189247,2;75,04
0;0;93,4;131,2;190474,1;75,56
0;0;92,2;131,97;191587,2;76,03
0;0;91;132,71;192661,1;76,38
0;0;89,8;133,32;193546;76,91
0;0;88,6;134,1;194685,9;77,18
0;0;87,4;134,78;195676,2;77,54
0;0;86,2;135,39;196552,7;78,19
0;0;85;136,36;197966,7;78,55
0;0;83,8;137,04;198945,8;78,81
0;0;82,6;137,96;200286,9;79,54
0;0;81,4;138,52;201102;79,86
0;0;80,2;139,13;201983,2;80,19
0;0;78,9;140,09;203373,9;80,62
0;0;77,7;140,78;204380;81,04
0;0;76,5;141,38;205255,1;81,44
0;0;75,3;142,2;206450,6;82,06
0;0;74,1;143,01;207623,9;82,44
0;0;72,9;143,67;208575,7;82,75
0;0;71,7;144,46;209731,5;83,24
0;0;70,5;145,18;210763,6;83,59
0;0;69,3;145,85;211741,5;84,04
0;0;68,1;146,54;212751,6;84,45
0;0;66,9;147,48;214113,3;84,99
0;0;65,7;148,2;215156,2;85,34
0;0;64,5;149,16;216547,8;86,13
0;0;63,3;149,88;217593,4;86,35
0;0;62,1;150,44;218405,1;86,84
0;0;60,8;151,5;219941,2;87,29
0;0;59,7;152,06;220762;87,65
0;0;58,4;153,03;222167,9;88,16
0;0;57,2;153,61;223004,1;88,52
0;0;56;154,47;224262,7;88,91
0;0;54,8;155,18;225289,3;89,32
0;0;53,6;156,17;226728,4;89,97
0;0;52,4;157,01;227947,7;90,52
0;0;51,2;157,64;228865,1;90,79
0;0;50;158,57;230212,7;91,41
0;0;48,8;159,59;231688;91,95
0;0;47,6;160,03;232335,3;92,22
0;0;46,4;160,93;233640,4;92,87
0;0;45,1;161,79;234891,6;93,22
0;0;43,9;162,64;236111,5;93,66
0;0;42,7;163,55;237446,4;94,29
0;0;41,5;164,19;238370,9;94,69
0;0;40,3;165,2;239832,1;95,18
0;0;39,1;166,15;241216;95,7
0;0;37,9;166,51;241734,3;95,84
0;0;36,7;167,56;243258,7;96,4
0;0;35,5;168,14;244104,4;96,87
0;0;34,2;169,2;245641,2;97,45
0;0;33,1;169,77;246469;97,79
0;0;31,9;170,13;246988,9;98,11
0;0;30,6;171,08;248364,5;98,52
0;0;29,4;171,54;249035,2;98,79
0;0;28,2;172,22;250028,7;99,12
0;0;27;172,69;250715;99,48
0;0;25,8;172,92;251039,5;99,45
0;0;24,6;173,27;251545,2;99,75
0;0;23,4;173,25;251529,1;100
0;0;22,2;173,39;251730,5;99,86
0;0;21;173,24;251511,7;99,68
0;0;19,8;172,87;250965,2;99,58
0;0;18,6;172,03;249754,7;99,14
0;0;17,4;171,16;248482,3;98,58
0;0;16,2;169,65;246290,4;97,75
0;0;15;167,95;243830,2;96,62
0;0;13,8;165,5;240277,7;95,35
0;0;12,6;162,65;236132,2;93,69
0;0;11,4;159,1;230978,3;91,57
0;0;10,1;154,45;224235,5;88,89
0;0;8,9;148,87;216132,4;85,66
0;0;7,7;142,11;206307,2;82
0;0;6,5;133,31;193540,5;76,92
0;0;5,3;123,03;178607,1;70,92
0;0;4,1;109,63;159165,1;63,09
0;0;2,9;93,2;135307,1;53,76
0;0;1,7;76,35;110850,9;43,95
0;0;0,5;65,45;95023,8;37,6
0;0;-0,5;60,46;87773,4;34,81
