 Crossline; Ratio;;Inline; Ratio;; Depth; Ratio
10;2,87;;-10;2,62;;250;35,76
9,8;3,14;;-9,9;2,73;;247;36,72
9,8;3,17;;-9,8;2,78;;244;37,29
9,7;3,36;;-9,7;2,84;;241;38,01
9,7;3,42;;-9,6;2,96;;238;38,78
9,6;3,56;;-9,5;3,07;;235;39,56
9,4;3,68;;-9,4;3,16;;232;40,34
9,4;3,79;;-9,3;3,25;;229;41,1
9,3;3,97;;-9,3;3,33;;226;41,91
9,1;4,32;;-9,1;3,43;;223;42,64
9;4,33;;-9;3,56;;220,1;43,45
8,9;4,68;;-8,9;3,72;;217;44,48
8,8;4,76;;-8,8;3,87;;214;45,3
8,7;4,96;;-8,7;3,96;;211;46,15
8,7;4,99;;-8,7;4,15;;207,9;47,12
8,5;5,35;;-8,6;4,31;;205;48,03
8,5;5,47;;-8,5;4,41;;202;49,03
8,4;5,84;;-8,3;4,63;;199;49,99
8,2;6,05;;-8,2;4,85;;196;51,16
8,2;6,46;;-8,1;5,07;;193,1;52,1
8;6,71;;-8,1;5,21;;190;53,04
7,9;7,42;;-7,9;5,5;;187,1;54,22
7,8;7,5;;-7,9;5,73;;184;55,31
7,8;7,85;;-7,7;6,01;;181;56,37
7,6;8,42;;-7,6;6,3;;178,1;57,58
7,6;8,81;;-7,5;6,58;;175;58,87
7,4;9,71;;-7,5;6,9;;172;60,09
7,4;10,13;;-7,3;7,26;;169;61,3
7,2;10,9;;-7,3;7,62;;166,1;62,58
7,1;11,65;;-7,1;8,07;;163;63,98
7,1;12,21;;-7;8,62;;160;65,16
7;13,45;;-6,9;9,17;;157;66,36
6,8;14,85;;-6,8;9,74;;154,1;67,92
6,8;15,49;;-6,8;10,32;;151,1;69,38
6,5;18,52;;-6,6;11,11;;148;70,92
6,5;18,59;;-6,5;11,79;;145,1;72,41
6,5;20,21;;-6,5;12,58;;142;73,83
6,3;22,67;;-6,4;13,64;;139;75,51
6,3;23,15;;-6,3;14,75;;136;77,01
6,1;26,69;;-6,2;15,89;;133;78,74
6,1;27,54;;-6,1;17,09;;130,1;80,51
6;30,29;;-6;18,63;;127;81,98
5,8;34,22;;-5,9;20,07;;124,1;83,99
5,8;35,21;;-5,8;21,94;;121,1;85,85
5,6;39,66;;-5,6;24,35;;118;87,65
5,5;42,88;;-5,6;26,11;;115;89,58
5,5;43,27;;-5,5;28,45;;112;91,36
5,3;47,87;;-5,4;30,63;;109;93,35
5,3;49,24;;-5,3;33,42;;106,1;95,62
5,1;53,74;;-5,2;36,26;;103;97,64
5,1;56,3;;-5;39,24;;100;99,82
5;58,75;;-5;42,01;;97;101,91
4,9;61,75;;-4,8;45,4;;94;104,22
4,8;64,2;;-4,7;48,64;;91,1;106,42
4,5;72,45;;-4,6;51,54;;88;108,88
4,6;71,01;;-4,5;54,63;;85;111,33
4,5;71,76;;-4,5;57,58;;82,1;113,88
4,3;74,3;;-4,3;61,06;;79;116,33
4,3;76,42;;-4,2;63,84;;76;119,11
4,2;78,66;;-4,2;66,31;;73;121,78
4;80,72;;-4,1;69,16;;70;124,48
3,9;82,56;;-4;72,43;;67;127,24
3,9;82,87;;-3,9;74,29;;64;130,32
3,7;84,89;;-3,7;77,38;;61;133,2
3,6;86,16;;-3,5;82,02;;58;136,41
3,6;87,11;;-3,5;82,56;;54,9;139,49
3,5;88,79;;-3,4;83,6;;51,9;142,82
3,2;90,17;;-3,3;85,59;;48,9;145,95
3,2;90,39;;-3,3;87,12;;45,9;149,68
3,1;92,2;;-3,2;87,89;;42,9;152,9
3;92,1;;-3,1;89,21;;39,9;156,71
3;92,59;;-3;89,99;;36,9;160,15
2,8;93,86;;-2,8;91,65;;33,9;163,84
2,7;93,99;;-2,8;92,14;;30,9;167,6
