 Crossline; Ratio;;Inline; Ratio;; Depth; Ratio
2,6;94,81;;-2,7;93,02;;27,9;171,59
2,6;94,97;;-2,5;93,84;;24,9;175,65
2,4;95,67;;-2,5;94,23;;21,9;179,63
2,4;95,77;;-2,4;94,69;;20,1;182,02
2,3;96,23;;-2,2;95,49;;20;182,08
2,1;96,77;;-2,1;95,84;;19,9;182,52
2;97,02;;-2,1;96,31;;19,7;182,07
1,9;97,22;;-2;96,64;;19,7;182,49
1,9;97,59;;-1,9;96,85;;19,6;182,56
1,7;97,97;;-1,7;97,42;;19,4;182,6
1,6;97,8;;-1,6;97,61;;19,3;182,92
1,6;98,43;;-1,6;97,76;;19,3;183,04
1,5;98,47;;-1,4;98,08;;19,1;183,36
1,4;98,49;;-1,3;98,23;;19,1;183,18
1,3;98,64;;-1,2;98,53;;18,9;183,34
1,2;98,97;;-1,1;98,48;;18,9;183,54
1;99,01;;-1,1;98,8;;18,8;183,71
0,9;99,26;;-1;98,88;;18,7;183,71
0,9;99,28;;-0,8;99,2;;18,6;184,02
0,8;99,41;;-0,8;99,32;;18,4;184,08
0,6;99,44;;-0,7;99,52;;18,3;184,29
0,6;99,64;;-0,5;99,56;;18,3;184,34
0,5;99,51;;-0,4;99,47;;18,2;184,48
0,3;99,64;;-0,4;99,53;;18,1;184,65
0,3;99,59;;-0,3;99,68;;17,9;184,86
0,2;99,6;;-0,1;99,74;;17,9;184,93
0;99,75;;0;99,66;;17,7;184,82
-0,1;99,72;;0,1;99,67;;17,7;185,04
-0,2;99,55;;0,1;99,51;;17,6;185,15
-0,2;99,69;;0,2;99,77;;17,5;185,47
-0,3;99,59;;0,3;99,68;;17,4;185,33
-0,5;99,62;;0,4;99,76;;17,3;185,35
-0,6;99,64;;0,5;99,65;;17,2;185,61
-0,7;99,69;;0,7;99,49;;17,1;185,68
-0,7;99,6;;0,7;99,47;;17;185,91
-0,9;99,37;;0,8;99,17;;16,9;186,05
-0,9;99,57;;1;99,27;;16,8;186,2
-1,1;99,31;;1,1;99,24;;16,7;186,31
-1,1;99,22;;1,1;99,03;;16,5;186,4
-1,3;99,14;;1,2;98,73;;16,5;186,53
-1,5;99;;1,3;98,63;;16,3;186,62
-1,5;98,92;;1,4;98,36;;16,3;186,75
-1,5;99,06;;1,5;98,2;;16,2;187,05
-1,6;98,67;;1,7;98,14;;16,1;186,82
-1,8;98,78;;1,7;97,8;;16;187,05
-1,9;98,24;;1,8;97,46;;15,9;187,09
-1,9;98,32;;1,9;97,15;;15,8;187,3
-2,1;98,09;;2,1;96,85;;15,7;187,51
-2,2;97,66;;2,1;96,49;;15,6;187,59
-2,3;97,54;;2,2;96,01;;15,5;187,5
-2,4;97,35;;2,3;95,59;;15,4;187,88
-2,4;97,19;;2,5;94,98;;15,3;187,86
-2,7;95,83;;2,5;94,51;;15,1;187,98
-2,7;96,19;;2,6;93,75;;15,1;188,05
-2,7;96,29;;2,8;92,7;;14,9;188,26
-2,9;95,28;;2,8;92,21;;14,9;188,25
-2,9;95,08;;3;90,7;;14,7;188,35
-3,1;94,66;;3;89,96;;14,6;188,58
-3,2;93,99;;3,1;88,98;;14,5;188,51
-3,2;93,36;;3,3;87,48;;14,5;188,65
-3,3;92,89;;3,4;86,4;;14,4;188,57
-3,5;91,72;;3,5;84,68;;14,2;188,81
-3,5;90,84;;3,5;83,32;;14,1;188,91
-3,8;87,16;;3,6;81,58;;14;189,06
-3,8;87,77;;3,7;79,37;;13,9;189,38
-3,8;87,63;;3,8;77,41;;13,9;189,35
-4;84,31;;4;74,46;;13,7;189,15
-4;83,92;;4,1;71,91;;13,7;189,37
-4,1;81,3;;4,1;69,88;;13,6;189,34
-4,2;80,49;;4,2;66,63;;13,4;189,41
-4,4;77,01;;4,4;63,28;;13,4;189,98
-4,5;74,19;;4,4;61,27;;13,3;189,84
-4,5;73,61;;4,6;55,09;;13,1;189,53
-4,6;69,64;;4,7;54,17;;13,1;190,05
-4,8;67,99;;4,7;52,01;;12,9;189,88
-4,9;63,61;;4,9;47,88;;12,9;190,29
-5,1;57,74;;5,1;42,34;;12,7;189,89
-5,1;57,01;;5,1;41,76;;12,6;190,11
-5,2;55,71;;5,1;39,53;;12,5;190,09
-5,3;52,68;;5,3;35,41;;12,4;190,25
-5,4;49,7;;5,3;33,9;;12,3;190,26
-5,5;45,05;;5,4;31,44;;12,2;190,46
-5,6;44,24;;5,6;28,25;;12,1;190,69
-5,6;40,25;;5,7;26,03;;12;190,42
-5,8;37,79;;5,8;23,51;;12;190,66
-5,8;35,69;;5,8;22,6;;11,9;190,5
-6;32,22;;6;20,4;;11,7;190,52
-6;31,2;;6,1;18;;11,6;190,6
-6,1;27,87;;6,1;17,59;;11,5;190,84
-6,3;24,44;;6,3;15,81;;11,4;190,68
-6,4;24,25;;6,3;14,81;;11,3;190,68
-6,5;21,72;;6,5;13,74;;11,2;190,58
-6,5;20,77;;6,6;12,72;;11,2;190,85
-6,7;19,42;;6,6;11,94;;11;191,03
-6,8;17,69;;6,7;11,25;;10,9;190,93
-6,8;16,68;;6,9;10,48;;10,8;190,86
-7;15,18;;6,9;9,92;;10,7;190,88
-7;14,76;;7,1;9,06;;10,6;190,91
-7,2;13,21;;7,1;8,83;;10,5;190,75
-7,3;12,43;;7,3;8,19;;10,4;190,69
-7,3;11,87;;7,3;7,84;;10,3;190,63
-7,6;9,9;;7,5;7,37;;10,2;190,58
-7,6;9,95;;7,6;7,04;;10,1;190,73
-7,7;9,75;;7,7;6,56;;10;190,76
-7,8;8,35;;7,8;6,36;;9,9;190,5
-7,9;8,34;;7,9;5,95;;9,9;190,5
-7,9;8,27;;8;5,73;;9,7;190,69
-8,1;7,5;;8;5,57;;9,6;190,28
-8,1;7,32;;8,1;5,3;;9,6;190,36
-8,4;6,39;;8,3;5,05;;9,5;190,58
-8,4;6,42;;8,3;4,92;;9,3;190,17
-8,4;6,36;;8,4;4,77;;9,3;190,21
-8,6;5,78;;8,6;4,44;;9,1;190,39
-8,6;5,74;;8,6;4,31;;9,1;190,14
-8,8;5,2;;8,7;4,21;;8,9;189,97
-8,8;5,22;;8,9;3,98;;8,8;189,76
-9;4,76;;9;3,86;;8,7;189,74
-9,1;4,75;;9,1;3,7;;8,6;189,45
-9,2;4,52;;9,2;3,56;;8,5;189,52
-9,3;4,26;;9,2;3,49;;8,5;189,27
-9,3;4,21;;9,4;3,34;;8,3;189,02
-9,5;3,95;;9,4;3,25;;8,2;188,79
-9,5;3,86;;9,6;3,1;;8,1;188,69
-9,7;3,61;;9,7;3;;8;188,95
-9,7;3,6;;9,7;2,97;;8;188,57
-9,8;3,51;;9,8;2,86;;7,8;187,85
-10;3,29;;10;2,77;;7,7;187,88
;;;;;;7,6;187,86
;;;;;;7,6;187,55
;;;;;;7,4;187,29
;;;;;;7,3;186,97
;;;;;;7,2;186,87
;;;;;;7,1;186,33
;;;;;;7;185,88
;;;;;;6,9;185,64
;;;;;;6,8;185,34
;;;;;;6,7;184,87
;;;;;;6,6;184,47
;;;;;;6,5;183,89
;;;;;;6,4;183,85
;;;;;;6,3;183,31
;;;;;;6,3;183,14
;;;;;;6,1;182,73
;;;;;;6;182,19
;;;;;;5,9;181,13
;;;;;;5,8;180,88
;;;;;;5,7;180,19
;;;;;;5,6;179,95
;;;;;;5,5;179,1
;;;;;;5,4;178,55
;;;;;;5,3;177,87
;;;;;;5,2;177,2
;;;;;;5,1;176,63
;;;;;;5;175,63
;;;;;;4,9;175,07
;;;;;;4,8;174,26
;;;;;;4,7;173,12
;;;;;;4,6;172,86
;;;;;;4,5;171,65
;;;;;;4,4;170,94
;;;;;;4,3;170,01
;;;;;;4,2;169,21
;;;;;;4,1;167,84
;;;;;;4,1;167,46
;;;;;;3,9;165,84
;;;;;;3,8;164,79
;;;;;;3,7;163,55
;;;;;;3,6;162,26
;;;;;;3,5;161,17
;;;;;;3,4;159,61
;;;;;;3,3;158,22
;;;;;;3,2;157,22
;;;;;;3,1;155,34
;;;;;;3;153,79
;;;;;;2,9;152,17
;;;;;;2,8;150,22
;;;;;;2,8;148,9
;;;;;;2,6;147,04
;;;;;;2,5;145,17
;;;;;;2,4;143,15
;;;;;;2,3;140,9
;;;;;;2,2;138,86
;;;;;;2,1;136,87
;;;;;;2;133,52
;;;;;;1,9;131,13
;;;;;;1,8;128,75
;;;;;;1,7;126,46
;;;;;;1,6;123,04
;;;;;;1,5;120,32
;;;;;;1,4;116,7
;;;;;;1,3;114,03
;;;;;;1,2;109,65
;;;;;;1,1;107,95
;;;;;;1;106,91
;;;;;;0,9;106,54
;;;;;;0,8;106,72
;;;;;;0,7;107,06
;;;;;;0,6;107,52
;;;;;;0,5;107,5
;;;;;;0,4;107,58
;;;;;;0,3;107,62
;;;;;;0,2;107,97
;;;;;;0,1;108
;;;;;;0;108,13
;;;;;;-0,1;108,09
;;;;;;-0,2;108,18
;;;;;;-0,3;108,06
;;;;;;-0,5;108,19
