 Crossline;Ratio;;Inline;Ratio;; Depth;Ratio
3,2;43,19;;3,2;23,02;;15,5;98,09
3,2;40,59;;3,3;22,57;;15,5;98,18
3,4;34,91;;3,3;21,25;;15,3;98,19
3,4;35,2;;3,5;18,18;;15,2;98,45
3,5;32,31;;3,7;15,42;;15,1;98,53
3,7;28,17;;3,7;15,01;;15,1;98,46
3,8;25,85;;3,7;14,42;;15;98,43
3,8;24,49;;3,9;12,78;;14,9;98,51
4;20,58;;4;12,1;;14,7;98,63
4,1;20,29;;4,1;10,17;;14,6;98,71
4,2;17,89;;4,2;9,97;;14,6;98,76
4,2;16,67;;4,2;9,55;;14,4;99,1
4,3;15,16;;4,4;8,38;;14,3;98,92
4,5;13,4;;4,5;7,67;;14,2;99,19
4,5;12,42;;4,6;7,49;;14,1;99,05
4,7;11,28;;4,6;7,16;;14;99,01
4,8;10,35;;4,7;6,65;;13,9;99,33
4,9;9,11;;4,8;6,17;;13,9;99,31
4,9;8,89;;5;5,63;;13,7;99,35
5,1;8,33;;5;5,49;;13,7;99,35
5,1;7,5;;5,1;5,11;;13,5;99,55
5,3;6,57;;5,2;4,78;;13,4;99,71
5,4;6,5;;5,4;4,59;;13,3;99,64
5,5;6,06;;5,5;4,26;;13,3;99,62
5,5;5,68;;5,6;4,12;;13,1;99,86
5,7;5,22;;5,7;3,85;;13,1;99,8
5,7;5;;5,8;3,65;;12,9;99,78
5,9;4,53;;6;3,28;;12,8;99,83
5,9;4,46;;6;3,28;;12,7;99,98
6,1;4,07;;6,1;3,09;;12,6;100,19
6,2;3,87;;6,1;3,03;;12,5;100,05
6,2;3,65;;6,3;2,86;;12,5;100,08
6,4;3,41;;6,4;2,68;;12,4;100,35
6,4;3,34;;6,5;2,61;;12,3;100,33
6,6;3,13;;6,6;2,45;;12,1;100,28
6,7;2,97;;6,6;2,41;;12;100,56
6,8;2,82;;6,8;2,29;;11,9;100,43
6,9;2,73;;6,9;2,21;;11,9;100,44
7;2,58;;7;2,1;;11,7;100,5
7,1;2,44;;7;2,07;;11,6;100,69
7,1;2,39;;7,2;1,94;;11,5;100,76
7,3;2,19;;7,2;1,9;;11,4;100,65
7,3;2,15;;7,3;1,83;;11,3;100,72
7,5;2,07;;7,5;1,73;;11,2;100,94
7,6;2;;7,6;1,67;;11,1;100,86
7,7;1,94;;7,7;1,65;;11,1;100,95
7,8;1,83;;7,8;1,57;;10,9;101,03
7,8;1,8;;7,9;1,52;;10,8;100,96
8;1,7;;7,9;1,5;;10,7;100,95
8;1,66;;8,1;1,41;;10,6;101
8,2;1,6;;8,1;1,42;;10,5;101,12
8,2;1,58;;8,3;1,35;;10,4;101,45
8,4;1,48;;8,3;1,34;;10,3;101,16
8,4;1,46;;8,4;1,29;;10,2;101,38
8,5;1,43;;8,6;1,22;;10,1;101,27
8,7;1,4;;8,6;1,24;;10;101,35
8,7;1,36;;8,8;1,2;;9,9;101,55
8,9;1,3;;8,9;1,15;;9,8;101,35
9;1,28;;9;1,14;;9,7;101,61
;;;;;;9,6;101,47
;;;;;;9,6;101,51
;;;;;;9,4;101,54
;;;;;;9,3;101,35
;;;;;;9,2;101,75
;;;;;;9,1;101,63
;;;;;;9;101,73
;;;;;;8,9;101,85
;;;;;;8,8;101,7
;;;;;;8,7;101,64
;;;;;;8,7;101,44
;;;;;;8,5;101,59
;;;;;;8,4;101,65
;;;;;;8,3;101,54
;;;;;;8,2;101,86
;;;;;;8,1;101,5
;;;;;;8;101,6
;;;;;;7,9;101,32
;;;;;;7,8;101,49
;;;;;;7,7;101,6
;;;;;;7,6;101,52
;;;;;;7,5;101,46
;;;;;;7,4;101,41
;;;;;;7,3;101,24
;;;;;;7,2;101,39
;;;;;;7,1;101,22
;;;;;;7;101,21
;;;;;;6,9;101,3
;;;;;;6,8;100,93
;;;;;;6,7;100,98
;;;;;;6,6;101,02
;;;;;;6,5;100,72
;;;;;;6,4;100,81
;;;;;;6,3;100,62
;;;;;;6,2;100,34
;;;;;;6,1;100,4
;;;;;;6;100,05
;;;;;;5,9;99,99
;;;;;;5,8;99,97
;;;;;;5,7;99,75
;;;;;;5,6;99,62
;;;;;;5,5;99,45
;;;;;;5,4;99,03
;;;;;;5,3;98,85
;;;;;;5,2;98,56
;;;;;;5,1;98,43
;;;;;;5;98,24
;;;;;;4,9;97,87
;;;;;;4,8;97,52
;;;;;;4,7;97,27
;;;;;;4,6;97,06
;;;;;;4,5;96,56
;;;;;;4,4;96,43
;;;;;;4,3;96,13
;;;;;;4,2;95,59
;;;;;;4,1;95,07
;;;;;;4;94,59
;;;;;;3,9;94,31
;;;;;;3,8;93,93
;;;;;;3,7;93,22
;;;;;;3,6;92,69
;;;;;;3,5;92,16
;;;;;;3,4;91,45
;;;;;;3,3;90,84
;;;;;;3,2;90,29
;;;;;;3,1;89,66
;;;;;;3;88,84
;;;;;;2,9;87,92
;;;;;;2,8;87,2
;;;;;;2,7;86,61
;;;;;;2,6;85,12
;;;;;;2,5;84,32
;;;;;;2,4;83,27
;;;;;;2,3;82,24
;;;;;;2,2;81
;;;;;;2,1;79,81
;;;;;;2;78,39
;;;;;;1,9;77,14
;;;;;;1,8;75,36
;;;;;;1,7;73,66
;;;;;;1,6;72,03
;;;;;;1,5;70,24
;;;;;;1,4;67,87
;;;;;;1,3;66,21
;;;;;;1,2;65,09
;;;;;;1,1;64,61
;;;;;;1;64,54
;;;;;;0,9;65,05
