 Crossline; Ratio 1s 0,5cm;; Crossline; Ratio 2s 0,01cm;; Crossline; Ratio 0,1s 0,01cm;; Crossline; Ratio Continu 2,5 cm/s;; Crossline; Ratio Continu 1 cm/s;; Crossline; Ratio Continu 0,5 cm/s;; Crossline; Ratio Continu 0,3 cm/s
;;;-2,8;96,56;;2,8;95,74;;;;;;;;;;;;
;;;-2,6;97,36;;2,7;97,14;;;;;;;;;;;;
;;;-2,5;97,67;;2,5;97,85;;;;;;;;;;;;
;;;-2,4;98,08;;2,4;97,62;;;;;;;;;;;;
;;;-2,4;98,34;;2,3;98,4;;;;;;;;;;;;
;;;-2,2;98,76;;2,3;98,46;;;;;;;;;;;;
;;;-2,1;98,94;;2,2;98,97;;;;;;;;;;;;
;;;-2,1;99,01;;2;98,98;;;;;;;;;;;;
;;;-1,9;99,23;;1,9;99,73;;;;;;;;;;;;
;;;-1,8;99,66;;1,8;100,19;;;;;;;;;;;;
;;;-1,7;99,75;;1,7;100,05;;;;;;;;;;;;
;;;-1,7;99,88;;1,6;100,23;;;;;;;;;;;;
;;;-1,5;100,21;;1,6;100,33;;;;;;;;;;;;
;;;-1,4;100,39;;1,4;100,53;;;;;;;;;;;;
;;;-1,4;100,39;;1,4;100,36;;;;;;;;;;;;
;;;-1,2;100,5;;1,2;100,78;;;;;;;;;;;;
;;;-1,1;100,79;;1,2;100,81;;;;;;;;;;;;
;;;-1;100,67;;1,1;100,87;;;;;;;;;;;;
;;;-0,9;100,83;;1;100,8;;;;;;;;;;;;
;;;-1;100,89;;0,8;101,19;;;;;;;;;;;;
;;;-0,6;100,93;;0,8;101,52;;;;;;;;;;;;
;;;-0,6;100,92;;0,7;100,81;;;;;;;;;;;;
;;;-0,5;101,04;;0,6;100,9;;;;;;;;;;;;
;;;-0,5;101,14;;0,5;101,82;;;;;;;;;;;;
;;;-0,3;101,14;;0,3;101,73;;;;;;;;;;;;
;;;-0,2;101,2;;0,3;101,52;;;;;;;;;;;;
;;;-0,2;101,21;;0,1;101,76;;;;;;;;;;;;
;;;0;101,14;;0,1;101,14;;;;;;;;;;;;
;;;0;101,08;;0;101,35;;;;;;;;;;;;
;;;0,2;101,09;;-0,3;100,82;;;;;;;;;;;;
;;;0,2;101,2;;-0,3;101,75;;;;;;;;;;;;
;;;0,4;101,21;;-0,4;101,59;;;;;;;;;;;;
;;;0,4;101,18;;-0,4;101,67;;;;;;;;;;;;
;;;0,5;101,2;;-0,6;100,99;;;;;;;;;;;;
;;;0,8;100,94;;-0,6;101,52;;;;;;;;;;;;
;;;0,7;101,02;;-0,7;100,87;;;;;;;;;;;;
;;;0,8;100,99;;-0,9;100,95;;;;;;;;;;;;
;;;0,9;100,9;;-0,9;100,96;;;;;;;;;;;;
;;;1,1;100,64;;-1;100,98;;;;;;;;;;;;
;;;1,2;100,69;;-1,2;100,35;;;;;;;;;;;;
;;;1,2;100,47;;-1,3;101,04;;;;;;;;;;;;
;;;1,4;100,37;;-1,3;100,25;;;;;;;;;;;;
;;;1,5;100,12;;-1,4;100,83;;;;;;;;;;;;
;;;1,5;100,17;;-1,6;100,69;;;;;;;;;;;;
;;;1,6;99,91;;-1,7;100,25;;;;;;;;;;;;
;;;1,8;99,85;;-1,8;100,06;;;;;;;;;;;;
;;;1,9;99,49;;-1,9;99,88;;;;;;;;;;;;
;;;2;99,23;;-1,9;99,84;;;;;;;;;;;;
;;;2,1;99,05;;-2,1;99,61;;;;;;;;;;;;
;;;2,1;98,79;;-2,1;99,02;;;;;;;;;;;;
;;;2,3;98,18;;-2,2;99,05;;;;;;;;;;;;
;;;2,4;98;;-2,4;98,6;;;;;;;;;;;;
;;;2,5;97,42;;-2,5;98,48;;;;;;;;;;;;
;;;2,5;97,25;;-2,7;97,24;;;;;;;;;;;;
;;;2,7;96,1;;-2,7;97,38;;;;;;;;;;;;
;;;2,7;96,44;;-2,8;97,36;;;;;;;;;;;;
;;;2,9;95,7;;-2,8;96,39;;;;;;;;;;;;
;;;3;94,86;;-3;96,16;;;;;;;;;;;;
;;;3,2;93,82;;-3,1;94,89;;;;;;;;;;;;
;;;3,1;93,89;;-3,3;93,34;;;;;;;;;;;;
;;;3,2;93,42;;-3,3;93,44;;;;;;;;;;;;
;;;3,3;92,57;;-3,3;93,06;;;;;;;;;;;;
;;;3,4;91,54;;-3,5;91,04;;;;;;;;;;;;
;;;3,6;89,72;;-3,5;90,4;;;;;;;;;;;;
;;;3,6;89,8;;-3,6;89,67;;;;;;;;;;;;
;;;3,7;88,23;;-3,8;87,41;;;;;;;;;;;;
;;;3,9;86,09;;-3,8;86,92;;;;;;;;;;;;
;;;3,9;85,7;;-4;83,99;;;;;;;;;;;;
;;;4,1;83,67;;-4,1;82,08;;;;;;;;;;;;
;;;4,2;83,24;;-4,2;80,17;;;;;;;;;;;;
;;;4,2;80,95;;-4,3;77,16;;;;;;;;;;;;
;;;4,3;79,05;;-4,3;75,74;;;;;;;;;;;;
;;;4,4;76,9;;-4,4;73,63;;;;;;;;;;;;
;;;4,6;74,23;;-4,6;68,54;;;;;;;;;;;;
;;;4,6;72,24;;-4,6;66,9;;;;;;;;;;;;
;;;4,9;66,28;;-4,8;63,91;;;;;;;;;;;;
;;;4,9;65,86;;-4,8;61,8;;;;;;;;;;;;
;;;4,9;65,37;;-5;55,32;;;;;;;;;;;;
;;;5,1;60,62;;-5,1;54,99;;;;;;;;;;;;
;;;5,1;59,89;;-5,2;49,34;;;;;;;;;;;;
;;;5,2;56,43;;-5,3;48,56;;;;;;;;;;;;
;;;5,4;51,57;;-5,4;45,75;;;;;;;;;;;;
;;;5,5;48,33;;-5,5;42,39;;;;;;;;;;;;
;;;5,5;47,26;;-5,6;39,37;;;;;;;;;;;;
;;;5,7;41,17;;-5,7;35,79;;;;;;;;;;;;
;;;5,7;41,23;;-5,7;35,41;;;;;;;;;;;;
;;;5,9;35,71;;-5,9;30,29;;;;;;;;;;;;
;;;5,9;35,08;;-6;30,23;;;;;;;;;;;;
;;;6;32;;-6,1;25,29;;;;;;;;;;;;
;;;6,2;28,35;;-6,1;25,34;;;;;;;;;;;;
;;;6,2;27,8;;-6,3;23,29;;;;;;;;;;;;
;;;6,3;25,17;;-6,3;22,58;;;;;;;;;;;;
;;;6,4;23,66;;-6,5;19,77;;;;;;;;;;;;
