 Crossline; Ratio;;Inline; Ratio;; Depth; Ratio
10,7;95,9;;-10,6;95,49;;15,3;99,41
10,5;96,01;;-10,5;95,26;;15,2;99,45
10,4;96,13;;-10,5;95,4;;15,1;99,56
10,4;96,29;;-10,4;95,63;;15,1;99,44
10,2;96,41;;-10,3;95,66;;15;99,48
10,1;96,37;;-10,1;96;;14,8;99,6
10;96,89;;-10;96,03;;14,7;99,57
10;96,7;;-10;96,09;;14,6;99,54
9,9;96,64;;-9,8;96,38;;14,6;99,67
9,7;96,88;;-9,8;96,48;;14,5;99,63
9,7;97,08;;-9,6;96,53;;14,3;99,69
9,5;97,03;;-9,5;96,63;;14,2;99,8
9,3;97,2;;-9,4;96,73;;14,1;99,65
9,3;97,29;;-9,3;96,76;;14;99,7
9,3;97,38;;-9,2;97,05;;13,9;99,66
9,2;97,37;;-9,1;97,19;;13,9;99,73
9,1;97,41;;-9,1;97,09;;13,7;99,76
8,9;97,69;;-8,8;97,37;;13,7;99,58
8,8;97,48;;-8,8;97,26;;13,5;99,7
8,7;97,8;;-8,8;97,5;;13,5;99,73
8,7;97,7;;-8,6;97,58;;13,4;99,76
8,5;98,02;;-8,6;97,34;;13,2;99,77
8,5;97,89;;-8,4;97,71;;13,1;99,68
8,4;98;;-8,3;97,8;;13,1;99,82
8,2;97,91;;-8,2;97,81;;13;99,81
8,1;98,08;;-8,1;97,83;;12,8;100,01
8;98,15;;-7,9;97,82;;12,7;99,88
8;98,27;;-7,9;97,8;;12,6;99,96
7,8;98,4;;-7,9;98,01;;12,5;99,82
7,8;98,32;;-7,7;98,09;;12,4;99,85
7,6;98,42;;-7,6;98,13;;12,3;99,76
7,6;98,41;;-7,6;98,19;;12,2;99,68
7,5;98,38;;-7,4;98,2;;12,1;99,79
7,4;98,64;;-7,4;98,33;;12;99,66
7,3;98,67;;-7,3;98,33;;12;99,72
7,2;98,57;;-7,2;98,35;;11,8;99,63
7;98,55;;-7;98,44;;11,7;99,69
6,9;98,8;;-7;98,46;;11,6;99,73
6,9;98,86;;-6,9;98,5;;11,5;99,56
6,8;98,53;;-6,6;98,55;;11,4;99,56
6,6;98,72;;-6,6;98,46;;11,4;99,53
6,6;98,7;;-6,6;98,56;;11,2;99,33
6,3;98,76;;-6,4;98,64;;11,1;99,38
6,3;98,9;;-6,3;98,72;;11;99,47
6,2;98,92;;-6,3;98,82;;10,9;99,44
6,2;99;;-6,2;98,82;;10,8;99,26
6,1;98,91;;-6;98,78;;10,7;99,3
6;99;;-6;98,74;;10,6;99,18
5,8;99,05;;-5,8;98,77;;10,5;99,11
5,7;99,04;;-5,8;98,86;;10,4;99,15
5,6;98,86;;-5,6;99,02;;10,3;99,1
5,4;99,26;;-5,5;98,81;;10,2;98,93
5,4;99,13;;-5,4;98,89;;10,1;98,99
5,4;98,89;;-5,3;99,13;;10;98,78
5,2;99,22;;-5,3;99,06;;9,9;98,71
5,1;99,13;;-5,2;99,12;;9,8;98,7
5;99,13;;-5,1;99,1;;9,7;98,59
4,9;99,26;;-5;99,06;;9,6;98,56
4,8;99,2;;-4,9;99,27;;9,5;98,32
4,7;99,35;;-4,7;99,18;;9,4;98,35
4,7;99,42;;-4,6;99,18;;9,3;98,23
4,6;99,24;;-4,5;99,2;;9,2;98,19
4,4;99,41;;-4,5;99,22;;9,1;98,07
4,4;99,37;;-4,4;99,14;;9;98,09
4,3;99,32;;-4,2;99,27;;8,9;97,87
4,2;99,57;;-4,1;99,33;;8,8;97,67
4;99,39;;-4,1;99,07;;8,7;97,42
4;99,52;;-3,9;99,26;;8,6;97,4
3,9;99,6;;-3,9;99,33;;8,5;97,18
3,8;99,4;;-3,8;99,28;;8,4;97,17
3,7;99,43;;-3,6;99,44;;8,3;97,02
3,5;99,53;;-3,5;99,36;;8,2;96,85
3,5;99,61;;-3,4;99,24;;8,1;96,65
3,3;99,45;;-3,3;99,33;;8;96,46
3,2;99,41;;-3,3;99,25;;7,9;96,5
3,2;99,48;;-3,1;99,48;;7,8;96,04
3,1;99,55;;-3;99,41;;7,7;96,11
2,9;99,51;;-3;99,53;;7,6;95,78
2,9;99,3;;-2,8;99,55;;7,5;95,57
2,8;99,46;;-2,7;99,37;;7,4;95,5
2,5;99,49;;-2,7;99,46;;7,3;95,46
2,6;99,58;;-2,6;99,38;;7,2;95,28
2,4;99,55;;-2,5;99,43;;7,1;94,9
2,4;99,55;;-2,4;99,34;;7;94,46
2,3;99,87;;-2,2;99,46;;6,9;94,47
2,1;99,53;;-2,2;99,31;;6,8;94,01
2;99,71;;-2,1;99,56;;6,8;94,03
